"","GEOID","new_oneperson_hh","new_twoperson_hh","new_total_tract_population","new_total_housing_units","new_hh_income_low","new_hh_income_mid","new_hh_income_high","new_nocar","new_basic","new_retail","new_service","hbo_prod","hbw_prod","nhb_prod","hbo_attr","hbw_attr","nhb_attr","hbo_attr_bal","hbw_attr_bal","nhb_attr_bal"
"1","08005007704",1724.46,1349.33,7658.2,3073.79,510.95,1706.4,856.44,136.65,0,0,144.1543529,9224.59111221738,3423.07189277641,5336.95432622856,2656.19323515,172.98522348,2046.09009406,1409.00806478914,114.108199747514,1310.57015649687
"2","08005007301",706.07,769.27,3140.96,1475.34,229.01,880.22,366.11,148.91,9.651764706,38.60705882,865.9011765,4673.2499817866,1659.38357947408,2584.52057706598,4394.4476471322,1096.9920000312,2283.744705907,2331.08498778074,723.621241992719,1462.79367917788
"3","08059009841",268.76,705.93,2384.76,974.7,80.1,263.98,630.62,29.24,14.07896458,47.65188011,709.3632153,3486.7933806947,1168.20972705179,1808.02099449611,3575.19232168,925.312871988,1808.931820227,1896.50163540713,610.37459675254,1158.66455030966
"4","08005007500",310.5,503.22,2642.5,813.71,98.02,369.97,345.72,33.04,15.489449,3.097889801,67.12094568,2736.93788059299,943.792400571508,1465.41000204743,841.3851985084,102.8499413772,604.5001305167,446.322396505011,67.8440702540502,387.196943552779
"5","08005080800",1413.91,1726.29,10048.09,3140.2,471.03,1556.08,1113.09,111.37,16.29860503,298.8077589,861.1096323,10126.4578247601,3548.50362561601,5524.21259868451,7733.417911331,1411.459195476,4502.219254565,4102.2799325196,931.056795330629,2883.78024514567
"6","08031015700",1349.61,1137.03,6387.69,2486.64,758.4,936.4,791.84,388.94,17.00266844,7.438667443,210.408022,7554.32757921713,2420.65659208212,3830.30285012682,2551.4627514292,281.8192294596,1830.0183020021,1353.45258251507,185.899606226104,1172.17095151857
"7","08005007201",1463.41,1049.18,7593.57,2512.59,917.23,885.87,709.48,178.54,22.3176194,42.77543718,909.4429904,7431.73800596847,2293.47374280591,3657.18926352545,5316.799472292,1169.443256376,2992.977551006,2820.35705693039,771.413083773393,1917.07445766977
"8","08005085800",362.45,758.47,3057.67,1120.92,54.55,369.53,696.83,0,25.70910874,0,22.28122758,3902.07869622566,1381.40593639063,2132.2937552604,880.624672648,57.588403584,716.600272982,467.137424112616,37.9876900876641,458.999794111794
"9","08031004303",625.02,1056.85,4218.72,1681.86,92.49,256.21,1333.16,10.05,27.12680162,140.6574899,944.4145749,5690.80670002745,2061.95101114705,3184.32821746705,5683.264688444,1334.638639704,3005.9500082,3014.75271993783,880.382783143918,1925.3836300294
"10","08059010304",654.52,607.9,2990.27,1262.42,133.12,495.87,633.43,115.55,28.07765258,18.35846515,321.813095,3897.10446879991,1483.37853908078,2300.25083353128,2183.905296566,441.899055276,1308.313945495,1158.47752899779,291.494872528818,838.006702281674
"11","08031005001",492,713.24,2856.02,1205.24,158.14,475.55,571.56,62,30.47261957,68.30069904,701.9210302,3988.9936036855,1384.82639364653,2152.22285966962,3895.448311335,960.833218572,2042.083037553,2066.38508599706,633.805284770679,1308.00353995896
"12","08031007088",1554.92,1187.07,5058.5,2741.99,511.33,1058.64,1172.02,362.79,30.83197887,50.35889882,424.4535758,8195.29808154067,2997.47167964709,4682.44515842573,3849.577650597,606.773344188,2491.531820009,2042.0524696566,400.252764757544,1595.88634769588
"13","08001009309",1101.67,925.08,5319.91,2026.75,497.34,826.41,703.01,188.22,31.16160965,26.17575211,224.3635895,6153.83872671154,2094.99172618916,3292.47150764743,2445.687007729,338.041141512,1668.765865042,1297.34263013646,222.985902047228,1068.88486839065
"14","08031003101",522.2,422.91,1930.7,945.11,141.89,349.91,453.31,117.21,31.96523179,42.62030905,3533.22362,2852.53350631859,1067.8729120465,1662.45493684457,13408.245928273,4329.370993008,5729.87713643,7112.55732361878,2855.83196132569,3670.12478932353
"15","08059009832",631.71,871.04,4089.01,1502.74,102.25,562.37,838.13,32.37,32.36683377,739.8133434,1071.18807,4936.75649013525,1822.54194784187,2817.50482128247,11038.165113199,2212.041896604,5894.613428865,5855.32086263792,1459.15421854944,3775.64236608323
"16","08031011902",1628.67,1554.99,6636.89,3183.66,401.91,1508.29,1273.46,289.81,36.22640231,51.1431562,376.1152946,9872.32181434523,3674.01971026594,5707.46583183123,3999.926524797,556.181823732,2695.243447735,2121.80674862862,366.880507835315,1726.36856869101
"17","08005084400",577.08,1038.1,4816.01,1615.17,83.86,633.65,897.66,18.64,41.93236698,0,23.29575943,5511.92826013639,1985.20224924948,3065.06842937513,1241.506814891,78.273751692,1022.682246692,658.571481744366,51.6326002497591,655.05269586355
"18","08001009318",2702.8,2121.86,13263.05,4824.66,1484.18,2485.89,854.59,218.44,42.41461465,583.2009514,1463.304205,14486.9833781048,4683.8005210532,7413.73593306821,13427.404939515,2506.70372526,7705.673665905,7122.72044014063,1653.52533375706,4935.67021880259
"19","08005081300",429.67,937.91,3841.3,1367.58,38.52,751.21,577.85,96.79,42.73697644,202.3721531,126.9539594,4786.06238831713,1713.70400864735,2641.09038882344,3131.486827448,446.475706728,1970.80115095,1661.132983951,294.513820896509,1262.34576880221
"20","08005082300",2654.13,1843.51,12956.81,4497.64,498.65,2330.3,1668.69,146.49,43.63611739,557.9189295,504.9322155,13233.2962416911,5260.22319129208,8160.70750274385,9632.675044223,1327.784714868,6049.526129045,5109.76258925561,875.861651173758,3874.86769458057
