zone_type,GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
,8031000600,,,,5052414.5,7549230.75,5052.4145,7549.23075,7985.926904,11932.43447,3946.507569,14416.50757,1.580615942,213,3490,2208,443,615,1001,2059,996,858,"list(list(c(-105.025222, -105.025233, -105.021368, -105.020538, -105.015835, -105.014639, -105.012692, -105.011707, -105.009489, -105.012528, -105.015133, -105.015677, -105.016261, -105.018982, -105.020549, -105.020509, -105.023616, -105.025213, -105.025268, -105.025222, 39.754837, 39.758476, 39.75846, 39.758038, 39.756303, 39.756078, 39.755368, 39.755009, 39.753926, 39.751401, 39.749855, 39.744744, 39.743389, 39.746384, 39.746483, 39.747599, 39.747588, 39.746363, 39.749998, 39.754837)))"
3,8031000701,664720,1.5,2.25,997080,1495620,997.08,1495.62,1889.556559,2834.334838,944.7782795,5460.778279,1.895090222,577,4516,2383,644,798,703,2145,1107,560,"list(list(c(-105.053206, -105.05321, -105.053212, -105.039308, -105.039324, -105.039326, -105.039311, -105.0393, -105.04205, -105.045537, -105.049868, -105.053228, -105.053206, 39.740411, 39.743273, 39.74398, 39.743953, 39.741526, 39.740342, 39.73847, 39.734344, 39.73505, 39.734846, 39.735277, 39.734965, 39.740411)))"
5,8031000701,"678,896",2.5,3.75,1697240,2545860,1697.24,2545.86,3216.422929,4824.634394,1608.211465,6124.211465,1.895090222,577,4516,2383,644,798,703,2145,1107,560,"list(list(c(-105.053206, -105.05321, -105.053212, -105.039308, -105.039324, -105.039326, -105.039311, -105.0393, -105.04205, -105.045537, -105.049868, -105.053228, -105.053206, 39.740411, 39.743273, 39.74398, 39.743953, 39.741526, 39.740342, 39.73847, 39.734344, 39.73505, 39.734846, 39.735277, 39.734965, 39.740411)))"
,8031000701,,,,2694320,4041480,2694.32,4041.48,5105.979488,7658.969232,2552.989744,11584.98974,1.895090222,577,4516,2383,644,798,703,2145,1107,560,"list(list(c(-105.053206, -105.05321, -105.053212, -105.039308, -105.039324, -105.039326, -105.039311, -105.0393, -105.04205, -105.045537, -105.049868, -105.053228, -105.053206, 39.740411, 39.743273, 39.74398, 39.743953, 39.741526, 39.740342, 39.73847, 39.734344, 39.73505, 39.734846, 39.735277, 39.734965, 39.740411)))"
3,8031000702,4777617,1.5,2.25,7166425.5,10749638.25,7166.4255,10749.63825,14003.1254,21004.6881,7001.562698,11800.5627,1.953990228,576,4799,2456,648,829,593,2070,825,664,"list(list(c(-105.039324, -105.039308, -105.035765, -105.035771, -105.034933, -105.031511, -105.025213, -105.025219, -105.025075, -105.025236, -105.026007, -105.032161, -105.03461, -105.036848, -105.0393, -105.039311, -105.039326, -105.039324, 39.741526, 39.743953, 39.74395, 39.746378, 39.746385, 39.746374, 39.746363, 39.74273, 39.738011, 39.736565, 39.736187, 39.734973, 39.735952, 39.734314, 39.734344, 39.73847, 39.740342, 39.741526)))"
5,8031000702,"1,101,005",2.5,3.75,2752512.5,4128768.75,2752.5125,4128.76875,5378.382527,8067.573791,2689.191264,7488.191264,1.953990228,576,4799,2456,648,829,593,2070,825,664,"list(list(c(-105.039324, -105.039308, -105.035765, -105.035771, -105.034933, -105.031511, -105.025213, -105.025219, -105.025075, -105.025236, -105.026007, -105.032161, -105.03461, -105.036848, -105.0393, -105.039311, -105.039326, -105.039324, 39.741526, 39.743953, 39.74395, 39.746378, 39.746385, 39.746374, 39.746363, 39.74273, 39.738011, 39.736565, 39.736187, 39.734973, 39.735952, 39.734314, 39.734344, 39.73847, 39.740342, 39.741526)))"
,8031000702,,,,9918938,14878407,9918.938,14878.407,19381.50792,29072.26189,9690.753962,19288.75396,1.953990228,576,4799,2456,648,829,593,2070,825,664,"list(list(c(-105.039324, -105.039308, -105.035765, -105.035771, -105.034933, -105.031511, -105.025213, -105.025219, -105.025075, -105.025236, -105.026007, -105.032161, -105.03461, -105.036848, -105.0393, -105.039311, -105.039326, -105.039324, 39.741526, 39.743953, 39.74395, 39.746378, 39.746385, 39.746374, 39.746363, 39.74273, 39.738011, 39.736565, 39.736187, 39.734973, 39.735952, 39.734314, 39.734344, 39.73847, 39.740342, 39.741526)))"
2.5,8031000903,42207,0.94,1.41,39674.58,59511.87,39.67458,59.51187,116.0177980,174.0266971,58.00889902,6079.008899,2.924235066,148,6021,2059,524,1041,325,1890,433,387,"list(list(c(-105.039716, -105.03945, -105.039454, -105.032484, -105.025135, -105.025102, -105.025078, -105.025087, -105.025092, -105.032455, -105.039697, -105.0397, -105.039701, -105.039716, 39.72133, 39.722949, 39.725707, 39.725622, 39.725542, 39.720269, 39.71664, 39.714824, 39.711174, 39.711209, 39.71125, 39.714963, 39.719735, 39.72133)))"
2.5,8031000904,88468,0.94,1.41,83159.92,124739.88,83.15992,124.73988,226.4789431,339.7184147,113.2394716,5696.239472,2.723414634,455,5583,2050,783,803,365,1951,711,408,"list(list(c(-105.055591, -105.055567, -105.053228, -105.049868, -105.045537, -105.04205, -105.0393, -105.039384, -105.039471, -105.039468, -105.039454, -105.043984, -105.046267, -105.048501, -105.053253, -105.053253, -105.053227, -105.055588, -105.055591, 39.734508, 39.734977, 39.734965, 39.735277, 39.734846, 39.73505, 39.734344, 39.732994, 39.730622, 39.728256, 39.725707, 39.725719, 39.725728, 39.725805, 39.7258, 39.725828, 39.73311, 39.733105, 39.734508)))"
5,8031000904,306505,2.5,3.75,766262.5,1149393.75,766.2625,1149.39375,2086.850506,3130.275759,1043.425253,6626.425253,2.723414634,455,5583,2050,783,803,365,1951,711,408,"list(list(c(-105.055591, -105.055567, -105.053228, -105.049868, -105.045537, -105.04205, -105.0393, -105.039384, -105.039471, -105.039468, -105.039454, -105.043984, -105.046267, -105.048501, -105.053253, -105.053253, -105.053227, -105.055588, -105.055591, 39.734508, 39.734977, 39.734965, 39.735277, 39.734846, 39.73505, 39.734344, 39.732994, 39.730622, 39.728256, 39.725707, 39.725719, 39.725728, 39.725805, 39.7258, 39.725828, 39.73311, 39.733105, 39.734508)))"
,8031000904,,,,849422.42,1274133.63,849.42242,1274.13363,2313.329449,3469.994174,1156.664725,12322.66472,2.723414634,455,5583,2050,783,803,365,1951,711,408,"list(list(c(-105.055591, -105.055567, -105.053228, -105.049868, -105.045537, -105.04205, -105.0393, -105.039384, -105.039471, -105.039468, -105.039454, -105.043984, -105.046267, -105.048501, -105.053253, -105.053253, -105.053227, -105.055588, -105.055591, 39.734508, 39.734977, 39.734965, 39.735277, 39.734846, 39.73505, 39.734344, 39.732994, 39.730622, 39.728256, 39.725707, 39.725719, 39.725728, 39.725805, 39.7258, 39.725828, 39.73311, 39.733105, 39.734508)))"
3,8031001101,647823.5,1.5,2.25,971735.25,1457602.875,971.73525,1457.602875,2202.363468,3303.545202,1101.181734,3585.181734,2.266423358,56,2484,1096,230,380,367,977,224,490,"list(list(c(-105.011221, -105.01118, -105.006433, -105.004178, -104.998194, -104.99821, -104.998203, -105.004137, -105.011202, -105.011221, 39.772914, 39.776554, 39.776537, 39.776556, 39.776547, 39.772977, 39.769296, 39.769287, 39.769286, 39.772914)))"
