GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
8005005626,31428.4817,2.55,3.825,80142.62835,120213.9425,80.14262835,120.2139425,184.1891249,276.2836874,92.09456246,3937.094562,2.298266587,77,3845,1673,244,584,837,1665,593,497,"list(list(c(-104.975097, -104.975084, -104.972086, -104.96371, -104.960159, -104.960239, -104.960344, -104.972263, -104.972471, -104.974299, -104.975501, -104.975097, 39.591003, 39.595145, 39.595166, 39.595177, 39.595173, 39.588854, 39.580645, 39.580608, 39.581493, 39.584066, 39.586764, 39.591003)))"
8005005628,"995,904.90",2.55,3.825,2539557.495,3809336.243,2539.557495,3809.336243,6441.241283,9661.861924,3220.620641,9079.620641,2.536363636,144,5859,2310,168,619,1482,2269,621,639,"list(list(c(-104.941488, -104.941407, -104.939848, -104.932927, -104.929731, -104.922888, -104.922902, -104.922957, -104.932945, -104.941594, -104.941488, 39.588279, 39.595172, 39.595045, 39.59505, 39.595066, 39.595059, 39.588961, 39.580558, 39.580554, 39.580555, 39.588279)))"
8005006709,363123.5179,2.55,3.825,925964.9707,1388947.456,925.9649707,1388.947456,2104.358105,3156.537158,1052.179053,6379.179053,2.272610922,17,5327,2344,79,587,1542,2208,519,916,"list(list(c(-104.904318, -104.904232, -104.904267, -104.896718, -104.893371, -104.889322, -104.885683, -104.883544, -104.876749, -104.875606, -104.873165, -104.872366, -104.88571, -104.888861, -104.897067, -104.904175, -104.904415, -104.904318, 39.57328, 39.576565, 39.580525, 39.580523, 39.580529, 39.580538, 39.580569, 39.58055, 39.580496, 39.578511, 39.570621, 39.565997, 39.565979, 39.565991, 39.565971, 39.565982, 39.565982, 39.57328)))"
8005006855,671282.1983,2.55,3.825,1711769.606,2567654.409,1711.769606,2567.654409,4915.199966,7372.799949,2457.599983,8263.599983,2.871414441,18,5806,2022,103,416,1465,1984,253,595,"list(list(c(-104.867241, -104.866709, -104.866784, -104.866822, -104.866762, -104.86669, -104.866681, -104.866535, -104.861691, -104.859611, -104.85344, -104.852172, -104.85118, -104.85021, -104.847952, -104.847673, -104.847809, -104.847922, -104.84764, -104.847625, -104.844735, -104.841672, -104.839852, -104.831366, -104.828668, -104.828591, -104.826853, -104.824593, -104.818469, -104.815218, -104.813409, -104.813031, -104.813344, -104.821003, -104.848089, -104.866798, -104.867147, -104.868118, 
-104.867241, 39.59806, 39.598408, 39.598838, 39.599216, 39.603744, 39.608937, 39.609558, 39.609558, 39.609191, 39.609564, 39.609772, 39.610243, 39.610838, 39.610201, 39.610128, 39.620497, 39.621064, 39.624087, 39.624087, 39.624087, 39.624085, 39.622083, 39.619297, 39.610704, 39.605904, 39.605746, 39.602187, 39.602186, 39.602165, 39.602181, 39.598562, 39.597288, 39.594952, 39.594989, 39.595071, 39.595033, 39.596457, 39.597075, 39.59806)))"
8005006856,"3,009,744.70",2.55,3.825,7674848.985,11512273.48,7674.848985,11512.27348,17940.37249,26910.55874,8970.186247,18201.18625,2.337553811,31,9231,3949,534,1136,1772,3442,1398,1023,"list(list(c(-104.876749, -104.872347, -104.868984, -104.867506, -104.86692, -104.866798, -104.848089, -104.821003, -104.813344, -104.814238, -104.815325, -104.815336, -104.813651, -104.811675, -104.805902, -104.805281, -104.804455, -104.804919, -104.804605, -104.801627, -104.80147, -104.801139, -104.801007, -104.801061, -104.801197, -104.800909, -104.797706, -104.79748, -104.800175, -104.799904, -104.795258, -104.795504, -104.790199, -104.791368, -104.800612, -104.800939, -104.801095, -104.801371, 
-104.813131, -104.815686, -104.832934, -104.836228, -104.857406, -104.867124, -104.8695, -104.872366, -104.873165, -104.875606, -104.876749, 39.580496, 39.580466, 39.581087, 39.581834, 39.582734, 39.595033, 39.595071, 39.594989, 39.594952, 39.592802, 39.592558, 39.590907, 39.590648, 39.590698, 39.588128, 39.58718, 39.58524, 39.584444, 39.582495, 39.582278, 39.582268, 39.582093, 39.581598, 39.579448, 39.578973, 39.57799, 39.577418, 39.574925, 39.573599, 39.572387, 39.571032, 39.569584, 39.567621, 
39.566087, 39.565893, 39.565887, 39.565885, 39.565887, 39.565988, 39.565988, 39.565988, 39.565988, 39.566029, 39.56598, 39.565983, 39.565997, 39.570621, 39.578511, 39.580496)))"
8005085900,256880.7764,2.55,3.825,655045.9799,982568.9699,655.0459799,982.5689699,2059.748392,3089.622588,1029.874196,7299.874196,3.1444333,36,6270,1994,90,358,1469,1917,179,550,"list(list(c(-104.76322, -104.758669, -104.756723, -104.754191, -104.753575, -104.749122, -104.735058, -104.727831, -104.725698, -104.724984, -104.719447, -104.719159, -104.719037, -104.719088, -104.72626, -104.731839, -104.733785, -104.733538, -104.738194, -104.744186, -104.749876, -104.751372, -104.752161, -104.75397, -104.754374, -104.754347, -104.754335, -104.754602, -104.758499, -104.76077, -104.761365, -104.762951, -104.763075, -104.763242, -104.76322, 39.638506, 39.638498, 39.638495, 39.638465, 
39.638483, 39.638481, 39.638452, 39.638557, 39.638529, 39.638526, 39.638558, 39.638548, 39.638545, 39.623937, 39.623932, 39.623688, 39.62502, 39.626858, 39.627203, 39.626795, 39.627128, 39.626893, 39.626621, 39.626545, 39.626548, 39.628199, 39.630572, 39.631243, 39.633668, 39.634393, 39.634582, 39.635675, 39.635901, 39.636552, 39.638506)))"
