GEOID,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,new_basic,new_retail,new_service,new_total_emp
08001009407,1076.27,925.33,5730.19,2001.6,301.98,939.62,760,42.42,65.86425287,50.23544711,2272.874896,2388.97459598
08005084700,1247.9,1518.67,7131.58,2766.56,137.23,1002.94,1626.39,31.57,66.4639329,79.75671948,377.1828192,523.40347158
08031004003,1152.07,1190.61,8820.48,2342.68,334.99,726.57,1281.12,192.13,66.93273891,1382.579388,1610.56903,3060.08115691
08005087100,2328.32,1391.26,7269.75,3719.59,854.65,1930.78,934.16,450.94,67.7710649,1613.47266,2450.184654,4131.4283789
08031000904,1572.4,902.31,12322.66,2474.71,993.18,1018.55,462.98,549.27,68.42243597,119.1874691,143.466398,331.07630307
08031000903,1097.73,981.11,6079.01,2078.84,576.35,1145.01,357.47,149.43,68.65515363,115.0983458,300.8711144,484.62461383000004
08059010209,1209.8,1754.54,7242.06,2964.33,283.02,1421.84,1259.48,74.65,72.4855124,24.88308635,505.2348402,602.60343895
08031006812,1386.95,1109.82,4400.5,2496.77,458.71,841.34,1196.72,132.14,75.20385742,313.7075195,2162.648071,2551.55944792
08001009603,2033.22,1424.89,9114.59,3458.11,620.85,2003.78,833.49,255.73,77.00833254,39.23065997,1862.729855,1978.9688475100002
08001009207,955.17,2394.13,9964.16,3349.3,394.8,1715.86,1238.63,75.36,79.54581513,0,127.6919664,207.23778153
08005080200,1131.22,1838.53,8442.49,2969.75,288.97,872.34,1808.44,153.4,79.98010405,984.6730843,1398.996246,2463.64943435
08031004404,1726.31,1802.64,15308.9,3528.95,932.63,1558.64,1037.68,302.11,79.995745,196.5609734,1215.935324,1492.4920424000002
08005082200,2277.55,2281.46,13143.7,4559.01,787.92,2245.8,1525.29,275.93,80.30773931,123.5503682,751.598073,955.45618051
08005080700,1787.16,1591.19,10039.85,3378.35,474.21,1600.91,1303.22,359.99,81.34338045,543.4430098,7343.403474,7968.18986425
08005082800,1576.2,1972.81,9693.05,3549.01,376.26,1534.44,1638.31,85.18,83.28338215,64.35534075,463.7370143,611.3757372
08005087000,4949.4,3366.68,19259.07,8316.08,1116.92,3894.01,3305.16,676.85,84.14867211,3095.207679,2480.556508,5659.91285911
08031005102,821.79,1033.46,3983.29,1855.24,242.79,538.3,1074.15,19.24,89.423106,95.08279625,730.1000426,914.60594485
08031003401,954.41,862.42,5816.36,1816.83,114.94,421.88,1280.01,45.15,89.71811889,24.07071482,733.0626787,846.8515124099999
08031002602,1137.54,795.69,5924.43,1933.23,236.14,593.65,1103.44,287.61,90.35525823,178.6569879,3343.144555,3612.1568011299996
08001009322,1137.14,1248.08,7230.73,2385.21,428.23,1183.33,773.66,203.43,91.47638029,607.5670034,221.1816956,920.2250792899999
08005085900,570.03,1751.49,7299.87,2321.52,108.99,433.54,1778.99,41.91,93.14028708,39.58462201,173.4737847,306.19869379
08059010205,517.55,925.39,3437.82,1442.95,154.23,329.22,959.49,119.18,93.64264135,11.35062319,79.45436236,184.44762690000002
08059010209,1568.5,2274.75,9389.31,3843.25,366.93,1843.41,1632.91,96.78,93.97725874,32.26085001,655.0355199,781.2736286500001
08001009326,442.6,739.16,2938.25,1181.77,106.39,423.47,651.9,14.6,94.91684416,206.5223642,56.32428115,357.76348951
08031004302,1145.6,1206.17,7433.67,2351.78,192.8,660.48,1498.49,145.19,94.94544703,131.248118,773.526142,999.7197070300001
08031006813,2579.45,1481.35,15332.53,4060.8,653.83,2376.65,1030.33,584.6,100.002525,989.3106942,4603.687671,5693.0008902
08059009833,3358.41,3313.63,15105.38,6672.05,988.67,2489.01,3194.37,0,109.7375954,441.6938213,1102.862833,1654.2942497
08059010305,1867.42,2037.49,8531.74,3904.91,706.74,1532.46,1665.71,178.14,112.5064615,42.18992308,2812.661538,2967.35792258
08001009304,1761.82,2102.93,10552.9,3864.75,374.66,1934.22,1555.87,60.5,113.66918,918.5203092,1560.201164,2592.3906532
08031003201,5136.09,4356.8,26907.62,9492.89,1032.73,4130.94,4329.22,737.61,124.1253614,105.7364189,3985.80327,4215.6650503
08031003004,1877.49,2053.74,22892.43,3931.23,515.46,1384.9,2030.86,65.57,125.6483427,830.6751547,28668.76353,29625.0870274
08059010307,2124.42,2494.03,11174.37,4618.45,669.15,2309.23,1640.07,406.74,126.8323796,540.1309961,717.2589746,1384.2223503
08031003202,2158.65,1444.54,12592.93,3603.18,642.69,1466.57,1493.92,550.67,127.5325666,185.8331684,2532.432393,2845.798128
08031004602,1674.87,1620,10174.07,3294.88,816.57,1577.35,900.95,302.66,130.8434567,75.33411146,581.5264744,787.70404256
08005081900,1828.65,2475.82,11971.7,4304.47,1429.38,1948.17,926.92,613.93,131.8048964,97.11939736,411.0231638,639.94745756
08001008508,1369.83,1756.43,9154.46,3126.27,271,1123.17,1732.1,112.98,133.9598343,77.47074753,789.2332405,1000.6638223299999
08031000702,4108.64,3306.83,19288.75,7415.47,2321.36,2969.77,2124.33,1739.13,136.6571161,225.0823088,3074.785111,3436.5245359
08005080100,2288.81,1700.74,8292.29,3989.55,1268.92,1700.39,1020.24,837.21,137.1472303,579.2935251,1918.014251,2634.4550064
08005007703,1390.68,1159.34,7100.67,2550.02,405.58,1120.92,1023.52,229.3,138.5046164,475.5325163,306.2490962,920.2862289
08005007600,1267.39,1335.08,7375.32,2602.47,810.57,1158.57,633.33,293.35,142.7097662,152.6201666,1512.327106,1807.6570388
08059010208,1515.58,2324.91,10066.61,3840.49,452.86,1385.12,2002.5,21.03,143.7335922,737.9492965,1090.271882,1971.9547707
08005006854,1382.47,1853.85,7904.49,3236.32,424.39,1124.77,1687.16,298.62,145.481411,786.1100807,21237.73371,22169.3252017
08001008540,1438.43,2290.03,11079.14,3728.46,36.14,682.37,3009.95,52.44,149.0281629,499.52032380000003,562.9952821,1211.5437688000002
08059010210,926.43,1610.83,6169.61,2537.26,141.25,948.64,1447.37,134.78,149.9440989,5.054295467,165.1069853,320.10537966699997
08031003701,2532.95,1860.78,15025.29,4393.73,737.9,1399.53,2256.3,448.55,151.1927468,862.2072858,6983.470386,7996.8704185999995
08059010206,1018.85,1557.29,5964.36,2576.15,198.89,868.19,1509.07,32.3,152.2618979,875.1214131,1324.217112,2351.600423
08031015300,1649.74,1198.48,8802.53,2848.22,483.56,1517.78,846.87,198.77,153.3160239,219.0228913,1684.286034,2056.6249491999997
08031004700,1198.46,1652.2,8594.85,2850.67,496.78,1127.26,1226.62,178.54,155.9237432,173.777607,411.8291234,741.5304736
08005083600,2495.44,2386.94,10980.23,4882.38,473.78,2433.5,1975.1,75.97,163.6223736,195.7624827,864.86111759999994,1224.2459739
08001008545,677.96,2375.69,9696.14,3053.65,116.43,586.33,2350.88,74.71,165.7227627,2.716766601,512.1105043,680.550033601
08031000301,1580.28,1457.39,6143.39,3037.67,497.62,816.75,1723.3,415.56,170.6206458,345.4283012,1907.182924,2423.231871
08001008550,1377.31,1963.34,9949.34,3340.65,223.3,935.08,2182.27,66.57,173.0846253,33.89069586,160.9808054,367.95612656000003
08059009840,1346.91,1326.15,6148.21,2673.06,372.59,945.14,1355.33,263.45,181.2245306,50.34014738,1558.866564,1790.4312419799999
08001009206,3483.58,3915.55,20417.41,7399.13,1003.42,2608.89,3786.82,95.98,183.2331667,1343.709889,2539.088167,4066.0312227
08005084600,1379.76,1939.52,9091.43,3319.28,261.6,1571.31,1486.37,53.84,183.3763638,403.7644708,852.9524445,1440.0932791
08001009401,1136.44,1608.43,8060.17,2744.87,392.34,1225.69,1126.84,146.11,184.879963,16.40064188,2485.442728,2686.72333288
08059009815,770.78,1951.71,7645.93,2722.49,84.99,561.78,2075.72,0,185.6565023,14.17225209,405.3264096,605.15516399
08005005628,1764.32,1815.46,9079.62,3579.78,265.05,976.59,2338.14,223.16,185.9625192,263.4469022,1304.83701,1754.2464314
08059009836,507.39,1566.08,5555.07,2073.47,48.41,597.56,1427.5,11.07,190.8863695,1.383234562,569.8926394,762.162243462
08031004306,1375.9,1346.98,16602.11,2722.88,265.33,765.33,1692.22,103.95,202.6548638,21.82436995,1727.242993,1951.7222267500001
08001009204,2087.2,3150.43,13531.53,5237.63,374.12,2165.52,2697.99,39.59,209.821852,902.6298537,1045.150357,2157.6020627
08005083700,1156.42,2938.3,12083.59,4094.72,145.36,1494.72,2454.64,203.27,211.2889796,197.9162594,1856.133568,2265.338807
08059010211,1496.66,1987.08,8328.69,3483.74,666.3,1155.42,1662.01,293.93,212.011779,190.3287561,1599.725242,2002.0657771
08005081000,4202.24,2500.29,15509.57,6702.53,1477.52,3738.79,1486.23,480.87,216.1236022,2496.227605,20180.54135,22892.8925572
08005083800,1145.76,1608.86,6879.44,2754.62,210.14,1248.19,1296.29,88.01,218.8480221,52.33322268,409.1506501,680.3318948799999
08001009104,1125.46,2034.12,9866.88,3159.58,417.45,1253.95,1488.17,54.34,218.918974,17.07878521,90.05177655,326.04953576
08001009202,742.04,1184.29,5756.24,1926.33,222.69,1067,636.65,45.5,226.2553711,11.37596838,1931.386632,2169.01797148
08031000303,1434.7,1348.18,4898.92,2782.88,372.28,742.1,1668.5,153.32,235.2321715,237.3324587,1350.484699,1823.0493292
08005082600,4046.11,2969.83,16412.87,7015.94,480.5,4076.41,2459.03,540.6,236.3264219,88.62240821,1988.096024,2313.04485411
08001009608,749.06,971.75,4194.72,1720.81,163.76,686.74,870.31,37.72,236.7252837,317.3679628,610.0228465,1164.116093
08031002403,2095.47,1270.54,5452.32,3366.02,1230.89,843.16,1291.97,656.11,250.404628,65.0088938,1306.197218,1621.6107398
08005082100,2692.53,3556.86,18134.55,6249.39,755.51,2693.56,2800.32,430.04,261.543919,279.1478366,1717.639391,2258.3311466
08031001101,496.27,1085.6,3585.18,1581.87,372.39,615.26,594.21,80.83,269.8988164,15.87640097,965.5738406,1251.34905797
08031004405,2841.68,2131.74,19635.37,4973.42,623.08,1497.37,2852.97,612.77,271.2551114,286.5679,11136.77236,11694.5953714
08031004304,2333.6,1457.79,13218.81,3791.39,217.57,1193.96,2379.86,43.01,274.096252,1276.044736,2158.220068,3708.361056
08031003703,1440.91,1147.13,7820.16,2588.03,327.6,1163.76,1096.68,270.52,289.7242376,105.3542682,4927.706454,5322.7849598
08031004006,1594.08,1606.32,16297.81,3200.41,639.13,846.89,1714.39,145.04,298.6421845,248.309232,2479.73679,3026.6882065
08001009607,1974.75,1471.98,8290.12,3446.73,898.16,1477.98,1070.59,183.23,316.3244287,44.94226856,5322.201726,5683.46842326
08031005002,1981.37,1803.23,8291.74,3784.6,963.39,1593.98,1227.23,564.04,318.0421624,392.149074,2437.293982,3147.4852184
08059010303,2557.56,3863.25,15426.61,6420.81,477.01,2335.89,3607.91,0,321.7344049,27.73572456,1137.164707,1486.6348364599999
08005081400,1136.33,692.43,4380.08,1828.76,270.64,720.59,837.53,232.88,348.2854973,248.47831,4872.877987,5469.6417943
08059009834,2003.92,1764.54,7902.72,3768.46,287.33,1758.98,1722.14,128.57,349.5015949,633.8111824,941.6623281,1924.9751053999998
08005081600,1625.03,1471.99,8548.72,3097.02,147.4,1521.95,1427.68,318.15,364.5509595,178.9613801,1744.873456,2288.3857956
08005081200,1184.52,1245.64,6326.22,2430.16,265.94,1502.64,661.58,148.91,366.1713293,508.9781478,612.7266911,1487.8761682
