id,new_total_emp
08005007105,484
08031004106,15334
08031004107,8758
08005005634,8127
08059011727,956
08059060300,352
08035014125,7358
08059009827,3013
08001008505,729
08001008506,6901
08031003300,757
08005087200,1549
08031012010,1906
08059015900,354
08031004104,684
08005005952,458
08035014131,11670
08035014001,12057
08005006705,562
08059012038,341
08005005621,356
08005085100,312
08059011806,1154
08031000902,309
08031002300,311
08005084300,469
08005085500,197
08035014112,103
08014031200,5545
08001007900,786
08005007202,225
08035014405,438
08059010502,4740
08059010603,2124
08005086600,456
08059009837,590
08059009845,1658
08035014503,8713
08059010801,614
08031008386,300
08005007400,5905
08059012048,915
08059009828,1071
08059012034,301
08035014204,274
08005005630,980
08005005951,5960
08035014602,370
08035013911,565
08005007302,1538
08005005552,2129
08031003500,7121
08005006857,211
08035014136,2059
08047013800,4583
08005006706,687
08031003001,2535
08059009852,3412
08059011724,350
08005006603,291
08014980200,21
08035014133,534
08005081700,470
08035014107,1274
08001008534,193
08001008603,825
08001008605,3593
08035014505,1583
08001009002,835
08001008606,4269
08005005632,3355
08005006707,7003
08059011402,2263
08059011601,1775
08005086000,336
08001060100,1658
08035014603,245
08005082500,51
08001008539,1129
08031007013,919
08035014010,1573
08093000100,936
08035014128,616
08001009751,1502
08005086500,891
08005015100,296
08031001000,5803
08059011731,507
08059012043,857
08059009900,3158
08059012022,974
08005085300,405
08035014006,425
08059012046,769
08039961100,262
08039961207,585
08039961205,78
08059010503,1837
08059009808,2509
08059009839,861
08014030600,156
08035014109,649
08035013909,1138
08001008542,1119
08001009411,618
08005005612,1585
08014980300,NA
08001009553,8857
08001008538,563
08035014604,223
08059011712,298
08059011721,739
08031003901,3547
08014030700,239
08001008401,1101
08001008547,563
08001009320,2451
08031003002,3575
08059009807,4566
08059009823,126
08005005624,1196
08059009824,542
08031000501,455
08059012023,289
08005007103,447
08059060400,7658
08031006804,17665
08035014135,1916
08035014404,172
08059011709,383
08005083200,513
08031001701,38525
08059980400,188
08031000302,1064
08031008304,51
08059011725,74
08001008523,5660
08031006814,1785
08001988700,1087
08005006808,446
08031002902,1064
08031006701,2748
08035013908,452
08035014140,648
08005006300,454
08001008541,575
08059009850,529
08001008537,2131
08059012041,736
08035014506,385
08093000300,823
08005080900,404
08035014011,865
08035014009,887
08035014132,479
08035013905,3248
08001061200,1360
08005005636,139
08005084900,1504
08005005622,599
08039961209,464
08005007107,4827
08059011100,9737
08005086800,832
08014030900,550
08035013901,3950
08031003902,6820
08035014108,750
08059011702,1249
08035014138,2797
08035014012,2697
08005085200,271
08035014008,1059
08059009830,446
08031008389,1229
08005080400,7333
08001008000,145
08035013904,5650
08031003102,7271
08059015800,3948
08039961204,801
08001008535,5698
08031004601,669
08059011733,6859
08059011000,2022
08059011904,4947
08035014126,1683
08005086100,266
08035014403,1919
08001009310,198
08031001702,72640
08001008536,176
08059012053,968
08001008551,68
08059009849,4918
08001008802,7238
08005005551,8158
08059012031,577
08059009846,2010
08031000800,2542
08059012057,1325
08005005619,517
08005086700,752
08031980000,19080
08005083900,448
08014031400,335
08035014504,4893
08035014122,1695
08059012033,653
08059012050,2105
08059012024,5616
08039961208,1424
08059009829,444
08031001500,7129
