GEOID,new_basic,new_retail,new_service,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,increase_population_totract,existing_building_SF,max_building_SF,existing_zone_hh,increase_zone_households,new_zone_hh,existing_zone_population,new_zone_population,avg_hhsize_existing,nocar_perc,nocar,population,housing_units,hh_income_low_perc,hh_income_mid_perc,hh_income_high_perc,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_perc,twoperson_perc,oneperson_hh,twoperson_hh,geometry
08001008200,2626.650347,238.5467701,1060.940055,610.81,1446.49,8666.76,2057.3,279.4,897.52,880.38,117.3,2090.76,3060148.6,3556448.63,3060.15,496.3,3556.45,12891.44,14982.19,4.21,0.06,89,6576,1561,0.14,0.44,0.43,212,681,668,1561,0.3,0.7,182,431,"list(list(c(-104.856523, -104.837588, -104.832961, -104.833009, -104.828323, -104.82811, -104.827927, -104.819333, -104.819431, -104.825852, -104.826697, -104.829058, -104.833039, -104.833049, -104.846824, -104.84694, -104.84823, -104.85122, -104.856431, -104.856631, -104.856523, 39.768391, 39.766873, 39.766195, 39.769177, 39.769156, 39.767655, 39.764201, 39.761912, 39.75111, 39.75112, 39.750802, 39.751293, 39.751483, 39.754879, 39.754888, 39.754687, 39.756485, 39.756982, 39.758387, 39.760286, 39.768391
08001008550,173.0846253,33.89069586,160.9808054,1377.31,1963.34,9949.34,3340.65,223.3,935.08,2182.27,66.57,1729.34,2322614.09,2903267.61,2322.61,580.65,2903.27,6917.35,8646.69,2.98,0.02,55,8220,2760,0.07,0.28,0.65,176,737,1720,2633,0.41,0.59,510,727,"list(list(c(-104.940188, -104.932755, -104.927849, -104.921904, -104.917731, -104.903052, -104.903182, -104.906109, -104.907266, -104.910345, -104.913152, -104.91548, -104.917641, -104.918206, -104.921817, -104.922, -104.92209, -104.92967, -104.940177, -104.940174, -104.940179, -104.940188, 39.913949, 39.913975, 39.914, 39.914034, 39.914066, 39.914284, 39.910221, 39.908015, 39.907091, 39.903953, 39.901186, 39.899732, 39.899778, 39.899745, 39.899749, 39.899749, 39.899747, 39.899583, 39.899373, 39.904092, 
39.907607, 39.913949)))"
08001009001,796.9190362,536.4419661,1806.443681,1034.21,1129.86,6223.29,2164.07,464.15,938.65,761.27,371.71,1803.29,2508283.63,3135354.54,2508.28,627.07,3135.35,7213.15,9016.44,2.88,0.17,264,4420,1537,0.21,0.43,0.35,314,635,515,1464,0.48,0.52,346,378,"list(list(c(-104.987015, -104.983745, -104.977825, -104.968362, -104.967276, -104.959091, -104.954489, -104.954139, -104.954328, -104.955654, -104.954982, -104.957405, -104.958385, -104.963394, -104.968368, -104.96837, -104.970928, -104.972269, -104.977352, -104.977808, -104.977809, -104.985471, -104.98571, -104.986513, -104.98725, -104.987015, 39.856311, 39.856333, 39.856333, 39.856254, 39.856234, 39.856188, 39.856159, 39.856159, 39.852087, 39.851645, 39.849323, 39.849616, 39.849319, 39.849345, 
39.849367, 39.849305, 39.849324, 39.84992, 39.849142, 39.849025, 39.849077, 39.849073, 39.849077, 39.852697, 39.856309, 39.856311)))"
08001009103,57.43326268,16.02788726,88.15337993,684.47,991.78,5923.64,1676.25,239.46,1000.2,436.58,44.08,1488.64,1685003.65,2106254.57,1685,421.25,2106.25,5954.57,7443.22,3.53,0.03,33,4435,1255,0.14,0.6,0.26,164,685,299,1148,0.41,0.59,147,213,"list(list(c(-104.940234, -104.938037, -104.931315, -104.931268, -104.931305, -104.93131, -104.931332, -104.931334, -104.931353, -104.931355, -104.931354, -104.939437, -104.940161, -104.940165, -104.938338, -104.928025, -104.927601, -104.917314, -104.912896, -104.912709, -104.908207, -104.903092, -104.902238, -104.901559, -104.902078, -104.902496, -104.90306, -104.903311, -104.903327, -104.903889, -104.904895, -104.90711, -104.907867, -104.910368, -104.912496, -104.913508, -104.914512, -104.916115, 
-104.919218, -104.920305, -104.922001, -104.927748, -104.928581, -104.928809, -104.927905, -104.929547, -104.929719, -104.930213, -104.930583, -104.93096, -104.93154, -104.934666, -104.935385, -104.935942, -104.936198, -104.936662, -104.937165, -104.938009, -104.940259, -104.940234, 39.858659, 39.85876, 39.867274, 39.870635, 39.873732, 39.874164, 39.875984, 39.876119, 39.877694, 39.877821, 39.877908, 39.877587, 39.87738, 39.884978, 39.884922, 39.885178, 39.885183, 39.885242, 39.885239, 39.885239, 
39.885239, 39.88524, 39.885241, 39.883538, 39.881654, 39.881069, 39.881078, 39.881077, 39.879773, 39.878075, 39.876202, 39.874484, 39.874357, 39.874375, 39.874403, 39.874236, 39.873629, 39.872098, 39.870449, 39.86866, 39.866048, 39.864939, 39.864223, 39.863395, 39.860181, 39.858029, 39.85785, 39.857645, 39.857589, 39.857594, 39.857749, 39.858106, 39.858073, 39.858, 39.857912, 39.857667, 39.857475, 39.856089, 39.855951, 39.858659)))"
08001009104,218.918974,17.07878521,90.05177655,1125.46,2034.12,9866.88,3159.58,417.45,1253.95,1488.17,54.34,3511.88,4498306.6,5622883.25,4498.31,1124.58,5622.88,14047.54,17559.42,3.12,0.02,35,6355,2035,0.13,0.4,0.47,262,787,934,1983,0.36,0.64,353,638,"list(list(c(-104.954489, -104.953757, -104.947084, -104.943662, -104.942522, -104.940173, -104.940161, -104.939437, -104.931354, -104.931355, -104.931353, -104.931334, -104.931332, -104.93131, -104.931305, -104.931268, -104.931315, -104.938037, -104.940234, -104.940259, -104.949811, -104.954139, -104.954489, 39.856159, 39.857799, 39.867629, 39.867984, 39.870276, 39.871962, 39.87738, 39.877587, 39.877908, 39.877821, 39.877694, 39.876119, 39.875984, 39.874164, 39.873732, 39.870635, 39.867274, 39.85876, 
39.858659, 39.855951, 39.856109, 39.856159, 39.856159)))"
08001009202,226.2553711,11.37596838,1931.386632,742.04,1184.29,5756.24,1926.33,222.69,1067,636.65,45.5,1202.24,1609319.32,2011649.16,1609.32,402.33,2011.65,4808.95,6011.19,2.99,0.02,36,4554,1524,0.12,0.55,0.33,163,781,466,1410,0.39,0.61,250,399,"list(list(c(-104.977761, -104.977705, -104.977699, -104.972406, -104.971683, -104.970745, -104.968249, -104.967644, -104.961817, -104.961232, -104.959578, -104.95988, -104.965352, -104.966227, -104.967488, -104.968065, -104.969524, -104.968209, -104.966611, -104.967276, -104.968362, -104.977825, -104.977761, 39.864002, 39.86939, 39.870724, 39.871437, 39.871181, 39.870824, 39.870709, 39.870708, 39.870665, 39.868757, 39.86871, 39.866596, 39.866143, 39.86313, 39.86239, 39.861113, 39.860328, 39.858485, 
39.857427, 39.856234, 39.856254, 39.856333, 39.864002)))"
08001009203,497.041431,4554.809046,9662.822397,2733.69,2812.39,14658.51,5546.08,1271.54,3201.4,1073.14,278.01,9438.51,14284339.62,17855424.53,14284.34,3571.08,17855.42,37754.05,47192.57,2.64,0.05,99,5220,1975,0.23,0.58,0.19,423,1065,357,1845,0.49,0.51,521,536,"list(list(c(-104.987679, -104.987675, -104.98767, -104.98765, -104.982214, -104.977891, -104.977626, -104.977627, -104.977647, -104.977665, -104.977699, -104.977705, -104.977761, -104.977825, -104.983745, -104.987015, -104.98725, -104.987653, -104.98768, -104.987679, 39.868138, 39.874899, 39.880665, 39.885341, 39.885269, 39.88524, 39.885239, 39.885049, 39.88138, 39.8779, 39.870724, 39.86939, 39.864002, 39.856333, 39.856333, 39.856311, 39.856309, 39.858585, 39.867996, 39.868138)))"
08001009204,209.821852,902.6298537,1045.150357,2087.2,3150.43,13531.53,5237.63,374.12,2165.52,2697.99,39.59,6695.53,10366515.29,12958144.11,10366.52,2591.63,12958.14,26782.12,33477.65,2.58,0.01,20,6836,2646,0.07,0.41,0.52,189,1094,1363,2646,0.4,0.6,691,1043,"list(list(c(-104.977665, -104.977647, -104.977627, -104.977626, -104.962588, -104.95892, -104.958909, -104.958962, -104.961817, -104.967644, -104.968249, -104.970745, -104.971683, -104.972406, -104.977699, -104.977665, 39.8779, 39.88138, 39.885049, 39.885239, 39.885176, 39.885117, 39.877786, 39.870635, 39.870665, 39.870708, 39.870709, 39.870824, 39.871181, 39.871437, 39.870724, 39.8779)))"
08001009206,183.2331667,1343.709889,2539.088167,3483.58,3915.55,20417.41,7399.13,1003.42,2608.89,3786.82,95.98,18077.41,26204515.75,32755644.69,26204.52,6551.13,32755.64,72309.63,90387.04,2.76,0.01,11,2340,848,0.14,0.35,0.51,115,299,434,848,0.47,0.53,250,281,"list(list(c(-104.95892, -104.957671, -104.946588, -104.946122, -104.945923, -104.94458, -104.940325, -104.940165, -104.940161, -104.941676, -104.949585, -104.958909, -104.95892, 39.885117, 39.885025, 39.885033, 39.885027, 39.885025, 39.885008, 39.884983, 39.884978, 39.87738, 39.877629, 39.877739, 39.877786, 39.885117)))"
08001009207,79.54581513,0,127.6919664,955.17,2394.13,9964.16,3349.3,394.8,1715.86,1238.63,75.36,5204.16,6997189.95,8746487.43,6997.19,1749.3,8746.49,20816.64,26020.8,2.98,0.02,36,4760,1600,0.12,0.51,0.37,182,791,571,1544,0.29,0.71,231,579,"list(list(c(-104.958909, -104.949585, -104.941676, -104.940161, -104.940173, -104.942522, -104.943662, -104.947084, -104.949759, -104.954278, -104.958221, -104.958962, -104.958909, 39.877786, 39.877739, 39.877629, 39.87738, 39.871962, 39.870276, 39.867984, 39.867629, 39.868977, 39.868373, 39.869886, 39.870635, 39.877786)))"
08001009304,113.66918,918.5203092,1560.201164,1761.82,2102.93,10552.9,3864.75,374.66,1934.22,1555.87,60.5,4796.9,7027001.53,8783751.92,7027,1756.75,8783.75,19187.58,23984.48,2.73,0.02,33,5756,2108,0.1,0.5,0.4,203,1048,843,2094,0.46,0.54,501,598,"list(list(c(-105.005581, -105.005574, -104.999949, -104.996601, -104.99325, -104.98765, -104.98767, -104.987675, -104.987679, -104.98768, -104.987653, -104.98725, -104.996528, -104.996543, -104.996544, -104.996565, -104.996588, -104.99659, -104.99982, -105.002035, -105.004757, -105.005583, -105.005581, 39.878611, 39.885258, 39.885263, 39.885271, 39.885282, 39.885341, 39.880665, 39.874899, 39.868138, 39.867996, 39.858585, 39.856309, 39.856343, 39.863429, 39.863576, 39.866535, 39.872203, 39.872659, 
39.872654, 39.873316, 39.874197, 39.874235, 39.878611)))"
08001009309,31.16160965,26.17575211,224.3635895,1101.67,925.08,5319.91,2026.75,497.34,826.41,703.01,188.22,1051.91,721353.6,1122105.6,721.35,400.75,1122.11,1893.44,2945.35,2.62,0.09,151,4268,1626,0.25,0.41,0.35,399,663,564,1626,0.54,0.46,549,461,"list(list(c(-105.02482, -105.0194, -105.015339, -105.015407, -105.015413, -105.015432, -105.015448, -105.015501, -105.017192, -105.024782, -105.024786, -105.024787, -105.024773, -105.02482, 39.849073, 39.849061, 39.849043, 39.84449, 39.843932, 39.841738, 39.839515, 39.833622, 39.834027, 39.836195, 39.83824, 39.838541, 39.841789, 39.849073)))"
08001009318,42.41461465,583.2009514,1463.304205,2702.8,2121.86,13263.05,4824.66,1484.18,2485.89,854.59,218.44,7009.05,10198654.28,12748317.85,10198.65,2549.66,12748.32,28036.21,35045.27,2.75,0.05,103,6254,2275,0.31,0.52,0.18,686,1149,395,2230,0.56,0.44,763,599,"list(list(c(-105.005997, -104.996543, -104.996528, -104.996532, -104.99654, -105.005971, -105.00596, -105.005951, -105.005968, -105.005997, 39.863489, 39.863429, 39.856343, 39.852667, 39.849063, 39.849052, 39.852602, 39.856275, 39.859745, 39.863489)))"
08001009322,91.47638029,607.5670034,221.1816956,1137.14,1248.08,7230.73,2385.21,428.23,1183.33,773.66,203.43,1934.73,2552853.24,3191066.55,2552.85,638.21,3191.07,7738.93,9673.66,3.03,0.09,149,5296,1747,0.18,0.5,0.32,300,829,542,1671,0.48,0.52,410,450,"list(list(c(-105.015532, -105.015515, -105.015517, -105.015517, -105.007441, -105.005574, -105.005581, -105.005583, -105.005579, -105.010791, -105.012931, -105.014241, -105.015522, -105.015518, -105.015532, 39.877975, 39.881076, 39.885061, 39.885247, 39.885283, 39.885258, 39.878611, 39.874235, 39.870845, 39.872384, 39.872033, 39.870931, 39.870822, 39.875588, 39.877975)))"
08001009325,953.1124932,29.38077969,2706.557425,1067.41,1927.08,6481.4,2994.49,263.46,1123.09,1607.95,115.17,966.4,803682,1250172,803.68,446.49,1250.17,1739.52,2705.93,2.16,0.04,98,5515,2548,0.09,0.38,0.54,213,908,1300,2421,0.36,0.64,632,1141,"list(list(c(-105.024981, -105.006111, -104.996727, -104.996649, -104.996647, -104.996632, -104.996632, -105.006096, -105.007444, -105.008355, -105.015532, -105.024939, -105.024859, -105.024853, -105.024861, -105.024981, 39.91423, 39.914068, 39.914053, 39.911527, 39.911424, 39.903307, 39.899724, 39.899715, 39.899713, 39.899712, 39.899657, 39.899625, 39.907718, 39.90848, 39.909485, 39.91423)))"
