zone_type,GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
R6,8059009836,270025.2803,2.3,3.5,621058.1446,945088.481,621.0581446,945.088481,1663.888932,2532.004896,868.1159644,4884.115964,2.679119413,8,4016,1499,35,432,1032,1499,208,642,"list(list(c(-105.165256, -105.165256, -105.165256, -105.147781, -105.143831, -105.141121, -105.136375, -105.132429, -105.131267, -105.130498, -105.129053, -105.1289, -105.128614, -105.128604, -105.12855, -105.12846, -105.137861, -105.140723, -105.14204, -105.142705, -105.144176, -105.147439, -105.147493, -105.147628, -105.1484, -105.149454, -105.155065, -105.155831, -105.156737, -105.165142, -105.165167, -105.165162, -105.16516, -105.165169, -105.165174, -105.165193, -105.165256, -105.165256, 39.846915, 
39.847109, 39.847187, 39.845893, 39.845343, 39.844443, 39.841936, 39.842075, 39.842069, 39.84207, 39.842056, 39.842055, 39.836455, 39.836168, 39.834172, 39.827117, 39.827064, 39.827058, 39.827037, 39.82706, 39.827055, 39.827062, 39.827063, 39.827064, 39.827094, 39.827071, 39.827038, 39.827025, 39.826991, 39.82701, 39.832856, 39.83335, 39.834626, 39.835183, 39.837629, 39.838329, 39.845345, 39.846915)))"
R13,8059009836,208699.3242,2.3,3.5,480008.4457,730447.6348,480.0084457,730.4476348,1285.999945,1956.956438,670.9564932,4686.956493,2.679119413,8,4016,1499,35,432,1032,1499,208,642,"list(list(c(-105.165256, -105.165256, -105.165256, -105.147781, -105.143831, -105.141121, -105.136375, -105.132429, -105.131267, -105.130498, -105.129053, -105.1289, -105.128614, -105.128604, -105.12855, -105.12846, -105.137861, -105.140723, -105.14204, -105.142705, -105.144176, -105.147439, -105.147493, -105.147628, -105.1484, -105.149454, -105.155065, -105.155831, -105.156737, -105.165142, -105.165167, -105.165162, -105.16516, -105.165169, -105.165174, -105.165193, -105.165256, -105.165256, 39.846915, 
39.847109, 39.847187, 39.845893, 39.845343, 39.844443, 39.841936, 39.842075, 39.842069, 39.84207, 39.842056, 39.842055, 39.836455, 39.836168, 39.834172, 39.827117, 39.827064, 39.827058, 39.827037, 39.82706, 39.827055, 39.827062, 39.827063, 39.827064, 39.827094, 39.827071, 39.827038, 39.827025, 39.826991, 39.82701, 39.832856, 39.83335, 39.834626, 39.835183, 39.837629, 39.838329, 39.845345, 39.846915)))"
R6,8059009838,248745.207,2.3,3.5,572113.9762,870608.2246,572.1139762,870.6082246,1533.978644,2334.315327,800.3366836,5704.336684,2.681246583,0,4904,1829,0,353,1476,1829,340,684,"list(list(c(-105.198152, -105.197721, -105.194044, -105.192467, -105.183985, -105.179487, -105.177167, -105.174597, -105.174585, -105.167363, -105.165142, -105.165156, -105.165156, -105.165164, -105.165221, -105.165259, -105.16515, -105.165118, -105.165135, -105.165174, -105.166394, -105.169844, -105.183825, -105.186148, -105.188997, -105.193293, -105.197248, -105.198179, -105.198152, 39.823059, 39.823948, 39.825433, 39.826782, 39.827121, 39.827095, 39.82623, 39.827089, 39.827089, 39.827006, 39.82701, 
39.825713, 39.825414, 39.823372, 39.821303, 39.819609, 39.81719, 39.816084, 39.814284, 39.812457, 39.812474, 39.812497, 39.81269, 39.812673, 39.812676, 39.81267, 39.812706, 39.814647, 39.823059)))"
R13,8059009838,484121.9614,2.3,3.5,1113480.511,1694426.865,1113.480511,1694.426865,2985.515816,4543.176242,1557.660426,6461.660426,2.681246583,0,4904,1829,0,353,1476,1829,340,684,"list(list(c(-105.198152, -105.197721, -105.194044, -105.192467, -105.183985, -105.179487, -105.177167, -105.174597, -105.174585, -105.167363, -105.165142, -105.165156, -105.165156, -105.165164, -105.165221, -105.165259, -105.16515, -105.165118, -105.165135, -105.165174, -105.166394, -105.169844, -105.183825, -105.186148, -105.188997, -105.193293, -105.197248, -105.198179, -105.198152, 39.823059, 39.823948, 39.825433, 39.826782, 39.827121, 39.827095, 39.82623, 39.827089, 39.827089, 39.827006, 39.82701, 
39.825713, 39.825414, 39.823372, 39.821303, 39.819609, 39.81719, 39.816084, 39.814284, 39.812457, 39.812474, 39.812497, 39.81269, 39.812673, 39.812676, 39.81267, 39.812706, 39.814647, 39.823059)))"
R13,8059009840,376398.9658,2.3,3.5,865717.6214,1317396.38,865.7176214,1317.39638,1991.204874,3030.094374,1038.8895,4702.8895,2.300062775,157,3664,1593,218,553,793,1564,519,511,"list(list(c(-105.154472, -105.150492, -105.149462, -105.149454, -105.1484, -105.147628, -105.147493, -105.147439, -105.144176, -105.142705, -105.14204, -105.140723, -105.137861, -105.13787, -105.137856, -105.137845, -105.152301, -105.152531, -105.153642, -105.154472, 39.821723, 39.822016, 39.822981, 39.827071, 39.827094, 39.827064, 39.827063, 39.827062, 39.827055, 39.82706, 39.827037, 39.827058, 39.827064, 39.823449, 39.814524, 39.812715, 39.812605, 39.816879, 39.818217, 39.821723)))"
R24,8059009840,"523,651.80",2.3,3.5,1204399.14,1832781.3,1204.39914,1832.7813,2770.193628,4215.512042,1445.318414,5109.318414,2.300062775,157,3664,1593,218,553,793,1564,519,511,"list(list(c(-105.154472, -105.150492, -105.149462, -105.149454, -105.1484, -105.147628, -105.147493, -105.147439, -105.144176, -105.142705, -105.14204, -105.140723, -105.137861, -105.13787, -105.137856, -105.137845, -105.152301, -105.152531, -105.153642, -105.154472, 39.821723, 39.822016, 39.822981, 39.827071, 39.827094, 39.827064, 39.827063, 39.827062, 39.827055, 39.82706, 39.827037, 39.827058, 39.827064, 39.823449, 39.814524, 39.812715, 39.812605, 39.816879, 39.818217, 39.821723)))"
R13,8059009841,62246.30273,2.3,3.5,143166.4963,217862.0596,143.1664963,217.8620596,350.2806943,533.0358391,182.7551448,2384.755145,2.446666667,27,2202,900,71,234,559,864,158,415,"list(list(c(-105.137861, -105.12846, -105.128397, -105.128398, -105.128399, -105.128404, -105.128412, -105.128406, -105.128375, -105.128377, -105.128401, -105.128399, -105.128408, -105.137845, -105.137856, -105.13787, -105.137861, 39.827064, 39.827117, 39.822477, 39.822394, 39.82232, 39.822194, 39.821975, 39.820295, 39.819635, 39.818881, 39.817881, 39.815177, 39.812756, 39.812715, 39.814524, 39.823449, 39.827064)))"
R13,8059009842,84300.33398,2.3,3.5,193890.7682,295051.1689,193.8907682,295.0511689,507.9014127,772.8934541,264.9920414,3672.992041,2.619523444,35,3408,1301,150,283,868,1301,290,508,"list(list(c(-105.20137, -105.198748, -105.197866, -105.197063, -105.196603, -105.195942, -105.195586, -105.193716, -105.192954, -105.191356, -105.191015, -105.189642, -105.189562, -105.189291, -105.188644, -105.186981, -105.187539, -105.18788, -105.193095, -105.193217, -105.193223, -105.193223, -105.193314, -105.193293, -105.188997, -105.186148, -105.183825, -105.169844, -105.169974, -105.173305, -105.174598, -105.174638, -105.174653, -105.174648, -105.174588, -105.174716, -105.174759, -105.179158, 
-105.183362, -105.187364, -105.189772, -105.193008, -105.197892, -105.199487, -105.199865, -105.20137, 39.769547, 39.771101, 39.771266, 39.771421, 39.771616, 39.771976, 39.772186, 39.773367, 39.774206, 39.775839, 39.776257, 39.781406, 39.782102, 39.783465, 39.790436, 39.793972, 39.796994, 39.798196, 39.801872, 39.804381, 39.80522, 39.805481, 39.80547, 39.81267, 39.812676, 39.812673, 39.81269, 39.812497, 39.811246, 39.808893, 39.806993, 39.806266, 39.800518, 39.800027, 39.790778, 39.778041, 39.771455, 
39.771729, 39.771143, 39.770045, 39.768719, 39.768161, 39.768385, 39.769304, 39.769369, 39.769547)))"
R6,8059009851,414844.3335,2.3,3.5,954141.967,1451955.167,954.141967,1451.955167,2421.074699,3684.244108,1263.169408,5262.169408,2.537436548,0,3999,1576,66,317,1077,1460,310,517,"list(list(c(-105.174653, -105.174638, -105.174598, -105.173305, -105.169974, -105.169844, -105.166394, -105.165174, -105.159913, -105.159183, -105.156692, -105.152301, -105.137845, -105.137882, -105.137884, -105.137895, -105.140426, -105.143263, -105.143975, -105.144995, -105.145983, -105.146219, -105.147413, -105.152096, -105.155599, -105.156762, -105.158936, -105.165175, -105.165271, -105.165296, -105.170227, -105.172213, -105.174648, -105.174653, 39.800518, 39.806266, 39.806993, 39.808893, 39.811246, 
39.812497, 39.812474, 39.812457, 39.812521, 39.812431, 39.812568, 39.812605, 39.812715, 39.805711, 39.804835, 39.801802, 39.801769, 39.801756, 39.801754, 39.801738, 39.801723, 39.801719, 39.801717, 39.80172, 39.801684, 39.801679, 39.80167, 39.801646, 39.797845, 39.795791, 39.798502, 39.799705, 39.800027, 39.800518)))"
R13,8059009851,1209365.149,2.3,3.5,2781539.843,4232778.021,2781.539843,4232.778021,7057.980857,10740.40565,3682.424795,7681.424795,2.537436548,0,3999,1576,66,317,1077,1460,310,517,"list(list(c(-105.174653, -105.174638, -105.174598, -105.173305, -105.169974, -105.169844, -105.166394, -105.165174, -105.159913, -105.159183, -105.156692, -105.152301, -105.137845, -105.137882, -105.137884, -105.137895, -105.140426, -105.143263, -105.143975, -105.144995, -105.145983, -105.146219, -105.147413, -105.152096, -105.155599, -105.156762, -105.158936, -105.165175, -105.165271, -105.165296, -105.170227, -105.172213, -105.174648, -105.174653, 39.800518, 39.806266, 39.806993, 39.808893, 39.811246, 
39.812497, 39.812474, 39.812457, 39.812521, 39.812431, 39.812568, 39.812605, 39.812715, 39.805711, 39.804835, 39.801802, 39.801769, 39.801756, 39.801754, 39.801738, 39.801723, 39.801719, 39.801717, 39.80172, 39.801684, 39.801679, 39.80167, 39.801646, 39.797845, 39.795791, 39.798502, 39.799705, 39.800027, 39.800518)))"
