GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08005082800,45,5121,1875,192,783,836,1811,461,577,"list(list(c(-104.791015, -104.784273, -104.783126, -104.78023, -104.779687, -104.77857, -104.778042, -104.777968, -104.777804, -104.772351, -104.772352, -104.772362, -104.772445, -104.778875, -104.781557, -104.784344, -104.78737, -104.791006, -104.790994, -104.791015, 39.685728, 39.685345, 39.685781, 39.688568, 39.689758, 39.691424, 39.693216, 39.693623, 39.696581, 39.696567, 39.693053, 39.682047, 39.680743, 39.678619, 39.678432, 39.678441, 39.677319, 39.677832, 39.682099, 39.685728)))"
08005087100,173,2789,1427,301,680,329,1310,569,340,"list(list(c(-104.875254, -104.875268, -104.865953, -104.865942, -104.865986, -104.866051, -104.868216, -104.870882, -104.875274, -104.875254, 39.682045, 39.68567, 39.685652, 39.68202, 39.674767, 39.670847, 39.672621, 39.674764, 39.678365, 39.682045)))"
08001008200,89,6576,1561,212,681,668,1561,182,431,"list(list(c(-104.856523, -104.837588, -104.832961, -104.833009, -104.828323, -104.82811, -104.827927, -104.819333, -104.819431, -104.825852, -104.826697, -104.829058, -104.833039, -104.833049, -104.846824, -104.84694, -104.84823, -104.85122, -104.856431, -104.856631, -104.856523, 39.768391, 39.766873, 39.766195, 39.769177, 39.769156, 39.767655, 39.764201, 39.761912, 39.75111, 39.75112, 39.750802, 39.751293, 39.751483, 39.754879, 39.754888, 39.754687, 39.756485, 39.756982, 39.758387, 39.760286, 39.768391
)))"
08005007201,96,4083,1351,468,452,362,1282,431,309,"list(list(c(-104.87534, -104.87533, -104.870624, -104.87059, -104.865859, -104.865906, -104.865925, -104.86593, -104.865971, -104.870653, -104.870831, -104.87432, -104.874947, -104.87534, -104.87534, 39.720134, 39.725576, 39.725574, 39.732854, 39.732857, 39.725571, 39.721419, 39.720126, 39.711053, 39.710169, 39.718176, 39.718201, 39.71845, 39.719711, 39.720134)))"
08005007301,108,2278,1070,147,565,235,947,324,353,"list(list(c(-104.847013, -104.843254, -104.837603, -104.82546, -104.825503, -104.828239, -104.837642, -104.847094, -104.847013, 39.740206, 39.740307, 39.740302, 39.74029, 39.736261, 39.736091, 39.736108, 39.736135, 39.740206)))"
08005007600,148,3721,1313,375,536,293,1204,337,355,"list(list(c(-104.847185, -104.844286, -104.837858, -104.835282, -104.831032, -104.828244, -104.828239, -104.825503, -104.82485, -104.828261, -104.835238, -104.843168, -104.84721, -104.847185, 39.72892, 39.728341, 39.731189, 39.732354, 39.734209, 39.734362, 39.736091, 39.736261, 39.725624, 39.725627, 39.72565, 39.725675, 39.725683, 39.72892)))"
08005086900,155,3118,1604,343,506,617,1466,597,495,"list(list(c(-104.885787, -104.882293, -104.881019, -104.875409, -104.87528, -104.875268, -104.875254, -104.875274, -104.875394, -104.881292, -104.889533, -104.885787, 39.689307, 39.689299, 39.689298, 39.689246, 39.689243, 39.68567, 39.682045, 39.678365, 39.678461, 39.683129, 39.689308, 39.689307)))"
08005082000,53,4413,1856,282,1197,297,1776,603,582,"list(list(c(-104.810293, -104.800569, -104.791164, -104.791165, -104.791165, -104.790969, -104.795677, -104.800947, -104.803748, -104.805659, -104.807656, -104.809989, -104.810002, -104.809967, -104.809881, -104.809778, -104.8098, -104.809784, -104.810386, -104.810293, 39.725611, 39.725621, 39.72563, 39.71381, 39.71365, 39.706477, 39.706734, 39.707147, 39.707773, 39.708227, 39.708614, 39.708627, 39.711584, 39.713555, 39.714082, 39.714804, 39.718363, 39.722535, 39.725611, 39.725611)))"
08005083700,76,4518,1531,53,545,895,1493,257,653,"list(list(c(-104.837531, -104.831731, -104.828784, -104.82582, -104.823337, -104.82197, -104.819609, -104.81916, -104.815791, -104.812702, -104.810309, -104.810349, -104.810377, -104.810956, -104.810985, -104.816398, -104.816681, -104.819817, -104.819262, -104.817181, -104.810614, -104.810501, -104.809906, -104.812623, -104.8164, -104.816527, -104.817084, -104.817932, -104.819931, -104.823038, -104.822111, -104.823775, -104.825438, -104.827606, -104.82988, -104.83249, -104.834448, -104.834111, -104.832832, 
-104.834732, -104.839432, -104.837531, 39.631888, 39.629788, 39.630302, 39.630822, 39.631328, 39.631306, 39.631319, 39.629555, 39.629962, 39.631432, 39.631359, 39.623874, 39.620354, 39.619148, 39.619125, 39.618098, 39.619145, 39.618898, 39.617833, 39.615803, 39.610542, 39.610359, 39.609184, 39.608045, 39.604647, 39.604529, 39.605028, 39.605789, 39.60574, 39.6055, 39.612047, 39.613542, 39.613373, 39.611879, 39.611479, 39.613289, 39.61611, 39.618447, 39.621489, 39.626189, 39.627389, 39.631888)))"
08005083500,73,6461,2192,282,894,958,2134,513,685,"list(list(c(-104.791018, -104.791006, -104.78737, -104.784344, -104.781557, -104.778875, -104.772445, -104.772456, -104.772469, -104.772473, -104.775219, -104.775643, -104.777344, -104.778672, -104.779871, -104.785176, -104.791036, -104.791018, 39.673665, 39.677832, 39.677319, 39.678441, 39.678432, 39.678619, 39.680743, 39.67723, 39.670618, 39.669017, 39.669151, 39.669546, 39.668791, 39.667954, 39.667447, 39.667523, 39.667559, 39.673665)))"
08005081200,122,5183,1991,203,1147,505,1855,562,591,"list(list(c(-104.829497, -104.819253, -104.819273, -104.819282, -104.819284, -104.81929, -104.826374, -104.828252, -104.828858, -104.828831, -104.829497, 39.69662, 39.696594, 39.689353, 39.685601, 39.684599, 39.68209, 39.682117, 39.682044, 39.682122, 39.689377, 39.69662)))"
08005084400,12,3101,1040,54,408,578,1040,179,322,"list(list(c(-104.765841, -104.763564, -104.759819, -104.76043, -104.759391, -104.757129, -104.755609, -104.754243, -104.753697, -104.75345, -104.75314, -104.753283, -104.75358, -104.753575, -104.754191, -104.756723, -104.758669, -104.76322, -104.763974, -104.765841, 39.642226, 39.645062, 39.645638, 39.64674, 39.648239, 39.649631, 39.653046, 39.65304, 39.653046, 39.653034, 39.653029, 39.652157, 39.638585, 39.638483, 39.638465, 39.638495, 39.638498, 39.638506, 39.64132, 39.642226)))"
08001008309,59,4251,1173,218,724,217,1159,134,278,"list(list(c(-104.810127, -104.81012, -104.809879, -104.781727, -104.781818, -104.772157, -104.772166, -104.772264, -104.772418, -104.77247, -104.780629, -104.787422, -104.791128, -104.791219, -104.800625, -104.810022, -104.810127, -104.810127, 39.745052, 39.747387, 39.773187, 39.773387, 39.776485, 39.776409, 39.771466, 39.753859, 39.747401, 39.740251, 39.74026, 39.740266, 39.740269, 39.740269, 39.740281, 39.740141, 39.740141, 39.745052)))"
