GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08059009840,157,3664,1593,218,553,793,1564,519,511,"list(list(c(-105.154472, -105.150492, -105.149462, -105.149454, -105.1484, -105.147628, -105.147493, -105.147439, -105.144176, -105.142705, -105.14204, -105.140723, -105.137861, -105.13787, -105.137856, -105.137845, -105.152301, -105.152531, -105.153642, -105.154472, 39.821723, 39.822016, 39.822981, 39.827071, 39.827094, 39.827064, 39.827063, 39.827062, 39.827055, 39.82706, 39.827037, 39.827058, 39.827064, 39.823449, 39.814524, 39.812715, 39.812605, 39.816879, 39.818217, 39.821723)))"
08059009815,0,5395,1921,59,390,1441,1890,280,709,"list(list(c(-105.148434, -105.148259, -105.144932, -105.140899, -105.140073, -105.145819, -105.141566, -105.143519, -105.139499, -105.13823, -105.137318, -105.138581, -105.137655, -105.139267, -105.135562, -105.126198, -105.115995, -105.111948, -105.111767, -105.111761, -105.111708, -105.111239, -105.110369, -105.110048, -105.110043, -105.110089, -105.119548, -105.126567, -105.1289, -105.129053, -105.130498, -105.131267, -105.132429, -105.136375, -105.141121, -105.143831, -105.147781, -105.147767, 
-105.147745, -105.147783, -105.147746, -105.147708, -105.147644, -105.147649, -105.14761, -105.147593, -105.148854, -105.148434, 39.87128, 39.871506, 39.870585, 39.867728, 39.866596, 39.864665, 39.862878, 39.861379, 39.862004, 39.862673, 39.861778, 39.860834, 39.85974, 39.858285, 39.856586, 39.855994, 39.853422, 39.854429, 39.853019, 39.85301, 39.852921, 39.853183, 39.853536, 39.853038, 39.851717, 39.841972, 39.842008, 39.842048, 39.842055, 39.842056, 39.84207, 39.842069, 39.842075, 39.841936, 39.844443, 
39.845343, 39.845893, 39.846058, 39.847776, 39.851727, 39.853071, 39.856414, 39.863078, 39.863898, 39.867491, 39.869683, 39.871031, 39.87128)))"
08059009835,13,3739,1407,94,324,989,1407,296,614,"list(list(c(-105.110369, -105.109678, -105.108882, -105.108743, -105.108589, -105.108423, -105.108153, -105.107719, -105.107731, -105.105307, -105.10059, -105.100595, -105.100601, -105.096927, -105.092466, -105.091902, -105.092175, -105.089506, -105.086631, -105.091324, -105.104379, -105.108166, -105.110089, -105.110043, -105.110048, -105.110369, 39.853536, 39.85417, 39.856112, 39.85622, 39.856319, 39.856404, 39.856507, 39.856596, 39.856395, 39.856421, 39.856386, 39.852938, 39.850198, 39.849321, 
39.849073, 39.848676, 39.848219, 39.844039, 39.841785, 39.841764, 39.841907, 39.84192, 39.841972, 39.851717, 39.853038, 39.853536)))"
08059010402,140,5411,3032,474,1488,825,2787,1276,957,"list(list(c(-105.137961, -105.128737, -105.128525, -105.123786, -105.114344, -105.109275, -105.104915, -105.101957, -105.10016, -105.095791, -105.086129, -105.0861, -105.0861, -105.086122, -105.086116, -105.086117, -105.090533, -105.1002, -105.102719, -105.109589, -105.121106, -105.124045, -105.126891, -105.128569, -105.137877, -105.138041, -105.137961, 39.786747, 39.788866, 39.78892, 39.78991, 39.791862, 39.792918, 39.793348, 39.793706, 39.794068, 39.795162, 39.797502, 39.791117, 39.789086, 39.786727, 
39.785209, 39.785008, 39.783997, 39.783846, 39.783842, 39.784349, 39.784304, 39.784172, 39.783708, 39.783299, 39.779907, 39.785387, 39.786747)))"
08059009851,0,3999,1576,66,317,1077,1460,310,517,"list(list(c(-105.174653, -105.174638, -105.174598, -105.173305, -105.169974, -105.169844, -105.166394, -105.165174, -105.159913, -105.159183, -105.156692, -105.152301, -105.137845, -105.137882, -105.137884, -105.137895, -105.140426, -105.143263, -105.143975, -105.144995, -105.145983, -105.146219, -105.147413, -105.152096, -105.155599, -105.156762, -105.158936, -105.165175, -105.165271, -105.165296, -105.170227, -105.172213, -105.174648, -105.174653, 39.800518, 39.806266, 39.806993, 39.808893, 39.811246, 
39.812497, 39.812474, 39.812457, 39.812521, 39.812431, 39.812568, 39.812605, 39.812715, 39.805711, 39.804835, 39.801802, 39.801769, 39.801756, 39.801754, 39.801738, 39.801723, 39.801719, 39.801717, 39.80172, 39.801684, 39.801679, 39.80167, 39.801646, 39.797845, 39.795791, 39.798502, 39.799705, 39.800027, 39.800518)))"
08059010213,44,4809,1894,282,697,867,1846,507,563,"list(list(c(-105.067316, -105.062676, -105.05657, -105.055636, -105.053281, -105.053282, -105.05327, -105.05325, -105.053256, -105.052839, -105.061413, -105.067303, -105.067285, -105.067289, -105.067309, -105.067307, -105.067316, 39.821856, 39.82185, 39.821863, 39.82185, 39.821859, 39.821163, 39.820028, 39.81277, 39.806497, 39.802535, 39.800794, 39.800337, 39.805577, 39.809222, 39.812816, 39.820069, 39.821856)))"
08059010305,76,3640,1666,297,644,700,1641,549,599,"list(list(c(-105.102882, -105.100863, -105.10034, -105.099085, -105.095403, -105.090823, -105.081424, -105.077958, -105.07672, -105.076681, -105.076641, -105.076589, -105.081433, -105.083745, -105.090816, -105.097836, -105.100209, -105.10021, -105.100199, -105.102545, -105.102747, -105.103261, -105.102882, 39.817037, 39.813365, 39.812886, 39.812082, 39.810992, 39.809781, 39.807434, 39.806544, 39.803376, 39.803247, 39.80299, 39.801989, 39.801992, 39.802, 39.802033, 39.802063, 39.802061, 39.804068, 
39.811088, 39.812588, 39.815982, 39.817022, 39.817037)))"
08059009842,35,3408,1301,150,283,868,1301,290,508,"list(list(c(-105.20137, -105.198748, -105.197866, -105.197063, -105.196603, -105.195942, -105.195586, -105.193716, -105.192954, -105.191356, -105.191015, -105.189642, -105.189562, -105.189291, -105.188644, -105.186981, -105.187539, -105.18788, -105.193095, -105.193217, -105.193223, -105.193223, -105.193314, -105.193293, -105.188997, -105.186148, -105.183825, -105.169844, -105.169974, -105.173305, -105.174598, -105.174638, -105.174653, -105.174648, -105.174588, -105.174716, -105.174759, -105.179158, 
-105.183362, -105.187364, -105.189772, -105.193008, -105.197892, -105.199487, -105.199865, -105.20137, 39.769547, 39.771101, 39.771266, 39.771421, 39.771616, 39.771976, 39.772186, 39.773367, 39.774206, 39.775839, 39.776257, 39.781406, 39.782102, 39.783465, 39.790436, 39.793972, 39.796994, 39.798196, 39.801872, 39.804381, 39.80522, 39.805481, 39.80547, 39.81267, 39.812676, 39.812673, 39.81269, 39.812497, 39.811246, 39.808893, 39.806993, 39.806266, 39.800518, 39.800027, 39.790778, 39.778041, 39.771455, 
39.771729, 39.771143, 39.770045, 39.768719, 39.768161, 39.768385, 39.769304, 39.769369, 39.769547)))"
08059009836,8,4016,1499,35,432,1032,1499,208,642,"list(list(c(-105.165256, -105.165256, -105.165256, -105.147781, -105.143831, -105.141121, -105.136375, -105.132429, -105.131267, -105.130498, -105.129053, -105.1289, -105.128614, -105.128604, -105.12855, -105.12846, -105.137861, -105.140723, -105.14204, -105.142705, -105.144176, -105.147439, -105.147493, -105.147628, -105.1484, -105.149454, -105.155065, -105.155831, -105.156737, -105.165142, -105.165167, -105.165162, -105.16516, -105.165169, -105.165174, -105.165193, -105.165256, -105.165256, 39.846915, 
39.847109, 39.847187, 39.845893, 39.845343, 39.844443, 39.841936, 39.842075, 39.842069, 39.84207, 39.842056, 39.842055, 39.836455, 39.836168, 39.834172, 39.827117, 39.827064, 39.827058, 39.827037, 39.82706, 39.827055, 39.827062, 39.827063, 39.827064, 39.827094, 39.827071, 39.827038, 39.827025, 39.826991, 39.82701, 39.832856, 39.83335, 39.834626, 39.835183, 39.837629, 39.838329, 39.845345, 39.846915)))"
08059009838,0,4904,1829,0,353,1476,1829,340,684,"list(list(c(-105.198152, -105.197721, -105.194044, -105.192467, -105.183985, -105.179487, -105.177167, -105.174597, -105.174585, -105.167363, -105.165142, -105.165156, -105.165156, -105.165164, -105.165221, -105.165259, -105.16515, -105.165118, -105.165135, -105.165174, -105.166394, -105.169844, -105.183825, -105.186148, -105.188997, -105.193293, -105.197248, -105.198179, -105.198152, 39.823059, 39.823948, 39.825433, 39.826782, 39.827121, 39.827095, 39.82623, 39.827089, 39.827089, 39.827006, 39.82701, 
39.825713, 39.825414, 39.823372, 39.821303, 39.819609, 39.81719, 39.816084, 39.814284, 39.812457, 39.812474, 39.812497, 39.81269, 39.812673, 39.812676, 39.81267, 39.812706, 39.814647, 39.823059)))"
08059009841,27,2202,900,71,234,559,864,158,415,"list(list(c(-105.137861, -105.12846, -105.128397, -105.128398, -105.128399, -105.128404, -105.128412, -105.128406, -105.128375, -105.128377, -105.128401, -105.128399, -105.128408, -105.137845, -105.137856, -105.13787, -105.137861, 39.827064, 39.827117, 39.822477, 39.822394, 39.82232, 39.822194, 39.821975, 39.820295, 39.819635, 39.818881, 39.817881, 39.815177, 39.812756, 39.812715, 39.814524, 39.823449, 39.827064)))"
08059010308,32,5829,2502,241,633,1484,2358,693,658,"list(list(c(-105.138001, -105.137982, -105.137982, -105.137985, -105.137936, -105.137895, -105.136775, -105.130839, -105.128917, -105.123521, -105.104799, -105.100209, -105.097836, -105.090816, -105.083745, -105.083729, -105.086129, -105.095791, -105.10016, -105.101957, -105.104915, -105.109275, -105.114344, -105.123786, -105.128525, -105.128737, -105.137961, -105.137976, -105.138011, -105.138001, 39.793584, 39.797349, 39.798087, 39.798176, 39.8, 39.801802, 39.801825, 39.801777, 39.801787, 39.801801, 
39.801956, 39.802061, 39.802063, 39.802033, 39.802, 39.798357, 39.797502, 39.795162, 39.794068, 39.793706, 39.793348, 39.792918, 39.791862, 39.78991, 39.78892, 39.788866, 39.786747, 39.790939, 39.791821, 39.793584)))"
08059010307,186,5110,2112,306,1056,750,2112,684,803,"list(list(c(-105.123685, -105.123599, -105.123553, -105.120887, -105.11554, -105.114384, -105.111338, -105.109076, -105.107714, -105.106772, -105.104785, -105.104799, -105.123521, -105.123702, -105.123685, 39.808758, 39.809471, 39.812722, 39.812728, 39.812647, 39.812205, 39.809417, 39.807259, 39.806012, 39.805137, 39.802887, 39.801956, 39.801801, 39.805837, 39.808758)))"
08059010211,122,3457,1446,267,463,666,1396,412,547,"list(list(c(-105.090919, -105.081447, -105.081442, -105.081486, -105.081432, -105.080518, -105.079049, -105.077958, -105.081424, -105.090823, -105.090848, -105.090867, -105.090919, 39.827208, 39.827244, 39.825026, 39.82012, 39.814659, 39.81286, 39.809242, 39.806544, 39.807434, 39.809781, 39.812922, 39.820443, 39.827208)))"
08059010405,211,2749,1600,388,740,465,1593,878,482,"list(list(c(-105.086129, -105.083729, -105.083745, -105.081433, -105.076589, -105.076587, -105.076959, -105.079995, -105.08121, -105.081402, -105.068655, -105.068705, -105.068687, -105.068686, -105.068686, -105.068686, -105.068686, -105.068721, -105.068737, -105.069397, -105.070222, -105.071718, -105.07252, -105.074255, -105.075704, -105.081396, -105.081439, -105.081439, -105.081435, -105.086117, -105.086116, -105.086122, -105.0861, -105.0861, -105.086129, 39.797502, 39.798357, 39.802, 39.801992, 
39.801989, 39.799662, 39.797544, 39.793405, 39.791902, 39.791196, 39.791098, 39.789517, 39.78839, 39.78836, 39.788256, 39.788212, 39.788178, 39.787478, 39.786908, 39.786979, 39.786908, 39.786545, 39.786455, 39.785839, 39.785182, 39.784426, 39.784417, 39.78446, 39.786142, 39.785008, 39.785209, 39.786727, 39.789086, 39.791117, 39.797502)))"
08059010206,21,3878,1675,126,550,956,1632,439,671,"list(list(c(-105.110089, -105.108166, -105.104379, -105.091324, -105.086631, -105.081821, -105.081545, -105.081447, -105.090919, -105.091091, -105.094105, -105.108782, -105.109819, -105.10984, -105.110089, 39.841972, 39.84192, 39.841907, 39.841764, 39.841785, 39.841799, 39.830443, 39.827244, 39.827208, 39.830484, 39.830822, 39.831076, 39.831165, 39.831741, 39.841972)))"
