GEOID,new_basic,new_retail,new_service,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,geometry
08031007088,30.83197887,50.35889882,424.4535758,1554.92,1187.07,5058.5,2741.99,511.33,1058.64,1172.02,362.79,"list(list(c(-104.903494, -104.892914, -104.89232, -104.890371, -104.89006, -104.886001, -104.881711, -104.879786, -104.875628, -104.875336, -104.875316, -104.877698, -104.877611, -104.882313, -104.884057, -104.885773, -104.891715, -104.893402, -104.894225, -104.897402, -104.898806, -104.899285, -104.903544, -104.903494, 39.711281, 39.711307, 39.707425, 39.705676, 39.704625, 39.702838, 39.701844, 39.700261, 39.700143, 39.700148, 39.697996, 39.697988, 39.696506, 39.696573, 39.696491, 39.696523, 39.69659, 
39.695695, 39.696597, 39.69627, 39.695091, 39.696976, 39.698535, 39.711281)))"
08001009309,31.16160965,26.17575211,224.3635895,1101.67,925.08,5319.91,2026.75,497.34,826.41,703.01,188.22,"list(list(c(-105.02482, -105.0194, -105.015339, -105.015407, -105.015413, -105.015432, -105.015448, -105.015501, -105.017192, -105.024782, -105.024786, -105.024787, -105.024773, -105.02482, 39.849073, 39.849061, 39.849043, 39.84449, 39.843932, 39.841738, 39.839515, 39.833622, 39.834027, 39.836195, 39.83824, 39.838541, 39.841789, 39.849073)))"
08031003101,31.96523179,42.62030905,3533.22362,522.2,422.91,1930.7,945.11,141.89,349.91,453.31,117.21,"list(list(c(-104.973357, -104.959766, -104.959784, -104.964757, -104.964754, -104.968434, -104.968432, -104.973339, -104.973357, 39.750723, 39.750716, 39.746935, 39.746943, 39.746068, 39.746081, 39.747101, 39.746975, 39.750723)))"
08059009832,32.36683377,739.8133434,1071.18807,631.71,871.04,4089.01,1502.74,102.25,562.37,838.13,32.37,"list(list(c(-105.064746, -105.054622, -105.053339, -105.052847, -105.0529, -105.053188, -105.05321, -105.053236, -105.060663, -105.062549, -105.062703, -105.06327, -105.062499, -105.062832, -105.062526, -105.064746, 39.856547, 39.856905, 39.855978, 39.853229, 39.852042, 39.849649, 39.845763, 39.841807, 39.841686, 39.841249, 39.841235, 39.843798, 39.847374, 39.848216, 39.855736, 39.856547)))"
08031011902,36.22640231,51.1431562,376.1152946,1628.67,1554.99,6636.89,3183.66,401.91,1508.29,1273.46,289.81,"list(list(c(-105.071756, -105.070092, -105.067291, -105.067289, -105.067297, -105.06011, -105.053256, -105.053242, -105.053216, -105.053189, -105.053076, -105.057122, -105.05715, -105.058227, -105.062053, -105.063926, -105.071029, -105.07094, -105.067026, -105.067283, -105.067288, -105.070144, -105.070016, -105.071972, -105.071756, 39.660679, 39.663569, 39.663317, 39.664173, 39.667775, 39.66778, 39.667785, 39.662573, 39.656164, 39.654286, 39.653346, 39.653349, 39.652946, 39.651279, 39.651264, 39.64962, 
39.649579, 39.650486, 39.653327, 39.653503, 39.656879, 39.656874, 39.659071, 39.659951, 39.660679), c(-105.063539, -105.062574, -105.06256, -105.063539, -105.063539, 39.652387, 39.652385, 39.652991, 39.652979, 39.652387)))"
08005084400,41.93236698,0,23.29575943,577.08,1038.1,4816.01,1615.17,83.86,633.65,897.66,18.64,"list(list(c(-104.765841, -104.763564, -104.759819, -104.76043, -104.759391, -104.757129, -104.755609, -104.754243, -104.753697, -104.75345, -104.75314, -104.753283, -104.75358, -104.753575, -104.754191, -104.756723, -104.758669, -104.76322, -104.763974, -104.765841, 39.642226, 39.645062, 39.645638, 39.64674, 39.648239, 39.649631, 39.653046, 39.65304, 39.653046, 39.653034, 39.653029, 39.652157, 39.638585, 39.638483, 39.638465, 39.638495, 39.638498, 39.638506, 39.64132, 39.642226)))"
08001009318,42.41461465,583.2009514,1463.304205,2702.8,2121.86,13263.05,4824.66,1484.18,2485.89,854.59,218.44,"list(list(c(-105.005997, -104.996543, -104.996528, -104.996532, -104.99654, -105.005971, -105.00596, -105.005951, -105.005968, -105.005997, 39.863489, 39.863429, 39.856343, 39.852667, 39.849063, 39.849052, 39.852602, 39.856275, 39.859745, 39.863489)))"
08005081300,42.73697644,202.3721531,126.9539594,429.67,937.91,3841.3,1367.58,38.52,751.21,577.85,96.79,"list(list(c(-104.819284, -104.819282, -104.819273, -104.819253, -104.809869, -104.809886, -104.809894, -104.811502, -104.815407, -104.81929, -104.819284, 39.684599, 39.685601, 39.689353, 39.696594, 39.696602, 39.689331, 39.685695, 39.685606, 39.682135, 39.68209, 39.684599)))"
08005082300,43.63611739,557.9189295,504.9322155,2654.13,1843.51,12956.81,4497.64,498.65,2330.3,1668.69,146.49,"list(list(c(-104.809904, -104.809894, -104.80301, -104.79998, -104.791015, -104.790994, -104.797771, -104.800532, -104.800808, -104.801012, -104.801063, -104.802676, -104.802858, -104.807665, -104.809923, -104.809904, 39.682056, 39.685695, 39.685706, 39.685712, 39.685728, 39.682099, 39.682123, 39.681418, 39.682144, 39.682332, 39.682141, 39.67596, 39.673935, 39.674731, 39.674809, 39.682056)))"
08005085700,43.66334737,427.536943,334.7523299,1566.86,1706.07,8206.89,3272.93,380.35,1579.9,1312.68,67.31,"list(list(c(-104.791509, -104.791471, -104.784639, -104.782269, -104.78396, -104.781159, -104.778849, -104.778219, -104.778093, -104.775922, -104.774728, -104.772502, -104.772629, -104.768074, -104.767394, -104.767229, -104.772824, -104.786049, -104.786395, -104.788079, -104.791531, -104.791509, 39.630657, 39.638498, 39.638507, 39.63851, 39.634543, 39.631985, 39.630964, 39.630776, 39.629215, 39.626424, 39.626283, 39.625328, 39.625143, 39.624794, 39.623986, 39.623788, 39.623978, 39.623966, 39.624149, 
39.624752, 39.626099, 39.630657)))"
