GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,total_emp,basic_emp,retail_emp,service_emp
08059012048,143,2449,1099,148,356,535,1039,379,340,915,95,151,669
08005006856,31,9231,3949,534,1136,1772,3442,1398,1023,34734,15529,1310,17895
08059009828,85,5802,2247,314,765,1168,2247,790,700,1071,39,35,997
08059012034,0,3710,1433,80,168,1144,1392,113,748,301,71,13,217
08035014204,0,3213,1198,31,194,973,1198,153,544,274,136,3,135
08005005630,0,5824,2234,158,625,1399,2182,336,933,980,55,137,788
08005005951,568,4509,2617,782,1201,558,2541,1722,493,5960,64,231,5665
08035014602,19,2658,1027,58,205,732,995,156,470,370,256,31,83
08035013911,12,7409,2172,38,271,1841,2150,216,522,565,249,3,313
08005084600,32,5404,1973,154,925,875,1954,456,641,856,109,240,507
08005007302,468,5121,1980,524,1033,254,1811,604,493,1538,42,413,1083
08005005552,93,2754,1326,422,636,236,1294,591,387,2129,1267,49,813
08031003500,91,6636,1995,425,813,571,1809,324,397,7121,4997,126,1998
08005006857,29,2238,899,47,170,659,876,195,367,211,36,0,175
08035014136,90,9614,3109,150,596,2363,3109,455,822,2059,178,439,1442
08047013800,58,6018,3799,340,1057,1405,2802,965,1293,4583,128,18,4437
08005006706,66,5262,2102,101,579,1391,2071,495,736,687,97,7,583
08031003001,65,5874,2865,235,643,1841,2719,807,1205,2535,406,236,1893
08059009852,17,4038,1602,75,390,1072,1537,257,644,3412,2010,108,1294
08059011724,0,6739,2427,75,296,2043,2414,253,981,350,94,14,242
08005006603,69,3310,1480,330,385,714,1429,415,558,291,25,76,190
08014980200,0,0,0,0,0,0,0,0,0,21,0,21,0
08031006812,123,4096,2324,404,741,1054,2199,1051,841,2375,70,292,2013
08035014133,16,6337,2184,120,338,1680,2138,302,747,534,84,5,445
08005081700,12,2991,985,61,125,799,985,105,353,470,34,94,342
08035014107,36,3775,1381,68,194,1119,1381,198,546,1274,123,429,722
08001009407,38,5133,1793,269,837,677,1783,492,423,2140,59,45,2036
08005081900,354,6903,2482,788,1074,511,2373,551,746,369,76,56,237
08031000904,455,5583,2050,783,803,365,1951,711,408,150,31,54,65
08031004006,107,4857,2361,403,534,1081,2018,651,656,902,89,74,739
08001008534,26,4946,1421,78,295,992,1365,118,373,193,50,29,114
08001008603,71,1937,794,277,363,107,747,243,201,825,189,79,557
08001008605,86,4278,1448,258,399,763,1420,335,488,3593,612,33,2948
08035014505,12,5797,2353,96,685,1477,2258,504,895,1583,538,301,744
08001009002,95,10038,3376,361,1528,1219,3108,653,735,835,229,28,578
08001008606,193,6120,2441,320,1400,701,2421,850,630,4269,236,151,3882
08005005632,6,3416,1223,97,246,856,1199,157,478,3355,109,594,2652
08005006707,20,5143,1897,69,529,1273,1871,417,627,7003,1623,159,5221
08059011402,212,4453,2086,565,943,495,2003,869,722,2263,147,797,1319
08059011601,106,3855,1492,247,607,540,1394,316,570,1775,325,573,877
08005086000,41,8476,2502,67,642,1745,2454,280,644,336,123,0,213
08001060100,34,7879,2483,143,607,1677,2427,330,754,1658,108,680,870
08035014603,0,6892,2219,104,434,1613,2151,233,635,245,97,6,142
08005006854,117,3097,1268,163,432,648,1243,349,468,8686,57,308,8321
08005082500,24,2276,748,36,268,427,731,120,255,51,25,1,25
08001008539,41,11059,3252,110,962,2130,3202,422,759,1129,198,256,675
08031007013,40,3927,2057,178,877,946,2001,851,745,919,251,36,632
08031004101,289,4589,2143,591,921,561,2073,897,612,6166,5182,103,881
08035014010,43,5997,2344,156,521,1575,2252,380,797,1573,158,695,720
08093000100,46,7051,3409,323,933,1335,2591,608,1114,936,216,133,587
08035014128,0,4859,1856,43,481,1325,1849,338,634,616,42,268,306
08001009318,103,6254,2275,686,1149,395,2230,763,599,985,20,275,690
08005084700,19,4292,1665,81,592,960,1633,424,516,315,40,48,227
08001009751,24,3944,1368,360,678,281,1319,264,405,1502,1246,55,201
08005086500,92,5159,2022,105,752,1082,1939,504,570,891,76,372,443
08005015100,12,2835,1064,55,238,771,1064,187,475,296,31,0,265
08005080100,409,4051,1949,597,800,480,1877,829,616,1287,67,283,937
08031001000,126,4803,1413,398,620,395,1413,265,285,5803,3690,431,1682
08059011731,20,4317,2137,198,781,1073,2052,729,772,507,327,1,179
08059010305,76,3640,1666,297,644,700,1641,549,599,1266,48,18,1200
08059012043,44,5766,2233,139,480,1600,2219,422,886,857,108,121,628
08059009900,33,2534,1145,154,385,485,1024,291,417,3158,2341,341,476
08059012022,15,5809,2345,181,597,1546,2324,430,1059,974,152,277,545
08005085300,12,2441,994,42,251,649,942,230,346,405,8,31,366
08005006855,18,5806,2022,103,416,1465,1984,253,595,8697,2696,590,5411
08031015300,167,4019,2393,382,1199,669,2250,1126,818,939,70,100,769
08035014006,0,6934,2177,84,221,1814,2119,235,531,425,122,16,287
08059012046,8,2270,856,72,311,473,856,191,322,769,71,197,501
08031003202,335,3456,2192,376,858,874,2108,1191,797,781,35,51,695
08039961100,29,2227,1012,151,415,337,903,198,420,262,86,14,162
08039961207,9,3930,1549,121,330,1001,1452,246,644,585,246,47,292
08039961205,0,2057,809,121,248,419,788,223,309,78,46,2,30
08059010503,126,4222,2053,362,780,831,1973,667,828,1837,165,548,1124
08059009808,83,6024,2790,501,611,1563,2675,729,1245,2509,497,120,1892
08059009839,4,2379,835,37,243,555,835,87,348,861,450,72,339
08059009842,35,3408,1301,150,283,868,1301,290,508,2281,1370,408,503
08014030600,0,6027,2264,110,841,1271,2222,308,805,156,42,9,105
08035014109,55,2882,1301,28,241,965,1234,306,617,649,121,13,515
08035013909,47,6016,2269,86,606,1529,2221,349,847,1138,402,52,684
08001008542,39,9823,3121,202,716,2040,2958,421,837,1119,493,188,438
08031002100,425,6568,3294,489,1025,1602,3116,1303,1132,9986,4297,1247,4442
08001009411,14,2974,1260,102,364,776,1242,293,532,618,36,256,326
08005005612,19,3789,1577,176,462,840,1478,415,491,1585,105,1027,453
08031002602,273,2885,1835,214,538,1000,1752,975,682,1759,44,87,1628
08031003004,44,6559,2638,316,849,1245,2410,767,839,8488,36,238,8214
08014980300,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
08001009553,98,3760,1223,208,498,517,1223,249,338,8857,6215,595,2047
08001008538,0,8171,2524,97,385,1931,2413,218,699,563,127,10,426
08035014604,16,4245,1380,81,148,1129,1358,149,436,223,65,2,156
08001008529,187,7446,3529,366,1697,1307,3370,1227,1158,5598,1755,991,2852
08031003603,52,3530,1569,199,458,839,1496,404,606,1168,38,45,1085
08059011712,0,4313,1786,156,503,1101,1760,409,720,298,77,4,217
08059011721,24,2541,1236,136,312,662,1110,372,357,739,81,5,653
08031003901,102,4204,2618,268,347,1582,2197,887,924,3547,311,377,2859
08014030700,34,2941,1277,199,326,752,1277,396,428,239,25,26,188
08001008401,47,4978,1787,258,634,816,1708,335,614,1101,307,177,617
08001008547,15,3663,1192,35,406,674,1115,179,366,563,15,213,335
08001009320,67,2643,1232,252,592,218,1062,372,263,2451,265,109,2077
08001009103,33,4435,1255,164,685,299,1148,147,213,121,43,12,66
08031003002,126,2780,1446,80,473,775,1328,504,491,3575,84,101,3390
08059009807,72,1737,829,127,254,425,806,272,313,4566,496,501,3569
08059009823,10,4829,1796,103,463,1199,1765,360,703,126,71,1,54
08031015600,270,8879,2544,573,1021,755,2349,432,356,3958,2114,592,1252
08005005624,14,2443,882,46,146,690,882,117,416,1196,85,14,1097
08059009824,42,4750,1871,138,674,993,1805,379,557,542,136,17,389
08031000501,25,2183,1044,74,198,693,965,239,444,455,227,27,201
08059012023,21,3545,1343,67,371,868,1306,198,527,289,137,17,135
08005007103,6,1716,592,22,121,449,592,67,272,447,197,36,214
08059009836,8,4016,1499,35,432,1032,1499,208,642,551,138,1,412
08059060400,0,3613,1479,77,389,1002,1468,387,539,7658,1111,772,5775
08031003800,478,6850,4783,562,989,2514,4065,1991,1688,15250,1235,4654,9361
08031006804,39,3168,1970,111,558,1010,1679,675,754,17665,4992,66,12607
08035014135,4,4868,1652,74,186,1254,1514,110,486,1916,1261,29,626
08005004952,93,3193,2009,257,953,631,1841,912,770,11204,447,2021,8736
08031002801,148,3002,1961,255,656,928,1839,1095,532,1813,453,205,1155
08035014404,32,2612,1146,69,208,809,1086,150,627,172,36,2,134
08059011709,20,3633,1615,126,840,636,1602,488,575,383,43,10,330
08005083200,18,9380,2811,74,627,2110,2811,254,781,513,101,90,322
08031001701,842,7500,6123,940,995,3011,4946,2731,2014,38525,7742,740,30043
08005080700,208,5801,1952,274,925,753,1952,611,544,4604,47,314,4243
08059980400,0,1308,0,0,0,0,0,0,0,188,0,0,188
08031000302,46,4587,2123,156,554,1358,2068,684,836,1064,126,283,655
08031008304,33,3790,1030,195,439,375,1009,162,202,51,35,0,16
08059011725,15,1844,705,36,215,454,705,162,289,74,21,0,53
08005007500,32,2559,788,93,351,328,772,145,235,83,15,3,65
08001008523,71,9226,3032,249,700,2020,2969,427,1057,5660,1526,1702,2432
08001008353,17,8538,2742,204,1105,1433,2742,616,806,10581,7067,266,3248
08031006814,60,5296,2221,441,872,783,2096,666,648,1785,274,63,1448
08001988700,0,0,0,0,0,0,0,0,0,1087,42,199,846
08031008388,60,10738,3901,199,2054,1481,3734,1074,1039,2288,620,83,1585
08005006808,7,5839,1874,20,311,1543,1874,187,605,446,92,10,344
08031002902,14,4239,2055,132,365,1440,1937,618,796,1064,73,149,842
08031006701,108,4080,2715,245,864,1350,2459,1241,1024,2748,443,0,2305
08035013908,15,6560,2514,117,417,1940,2474,302,1121,452,115,6,331
08035014140,20,5309,1776,59,199,1447,1705,198,584,648,163,132,353
08005006300,10,2601,1248,154,426,574,1154,339,428,454,51,122,281
08001008541,36,6241,2194,65,399,1707,2171,171,1196,575,372,0,203
08059009850,0,2540,1139,90,136,856,1082,281,473,529,150,22,357
08001008550,55,8220,2760,176,737,1720,2633,510,727,304,143,28,133
08001008537,11,6846,1968,105,603,1220,1928,153,520,2131,1716,76,339
08059012041,20,5885,2205,60,623,1502,2185,434,866,736,138,118,480
08035014506,16,5410,1859,56,165,1536,1757,191,616,385,210,3,172
08093000300,7,2900,2603,272,479,394,1145,433,357,823,146,94,583
08005080900,38,4901,1363,132,605,616,1353,307,325,404,18,100,286
08035014011,83,5608,2211,109,480,1482,2071,473,570,865,42,107,716
08035014009,11,4252,1309,62,252,976,1290,172,327,887,109,22,756
08035014132,0,6394,2002,21,279,1680,1980,108,623,479,139,2,338
08035013905,100,4265,1774,242,508,982,1732,470,647,3248,179,600,2469
08001061200,0,2795,904,15,100,710,825,67,266,1360,70,790,500
08005005636,0,1833,717,33,113,528,674,109,298,139,21,0,118
08005084900,9,3421,1093,41,152,900,1093,93,429,1504,149,761,594
08005005622,11,2631,1072,62,232,764,1058,188,470,599,108,19,472
08031003701,215,3677,2106,329,624,1006,1959,976,717,1957,37,211,1709
08059009838,0,4904,1829,0,353,1476,1829,340,684,921,534,20,367
08031007088,353,4922,2668,469,971,1075,2515,1154,881,492,30,49,413
08039961209,16,2182,933,125,273,468,866,194,336,464,90,25,349
08005007107,67,11605,3507,160,608,2667,3435,388,853,4827,338,1774,2715
08031003401,38,2658,1529,88,323,980,1391,581,525,387,41,11,335
08059011100,395,6565,3069,646,1213,977,2836,1005,1017,9737,694,401,8642
08005086800,207,7377,3423,562,1394,1192,3148,1134,813,832,36,146,650
08014030900,51,5423,2236,73,574,1561,2208,478,872,550,131,25,394
08035013901,0,7807,3289,135,764,2158,3057,639,1294,3950,509,277,3164
08031004404,235,6698,2745,657,1098,731,2486,769,803,653,35,86,532
08031003902,42,4502,1934,73,426,1327,1826,544,563,6820,437,520,5863
08059009841,27,2202,900,71,234,559,864,158,415,712,13,44,655
08035014108,17,4849,1854,80,406,1324,1810,329,648,750,83,13,654
08059011702,124,5693,2307,276,728,1231,2235,648,763,1249,88,138,1023
08035014138,29,3059,1761,125,554,951,1630,721,566,2797,239,1051,1507
08001009304,33,5756,2108,203,1048,843,2094,501,598,1414,62,501,851
08035014012,0,7976,2853,122,556,1993,2671,377,872,2697,844,563,1290
08005085200,5,3013,949,21,109,815,945,52,385,271,39,8,224
08035014008,70,9343,3331,106,382,2698,3186,325,1131,1059,220,32,807
08059009830,18,2245,1024,106,444,474,1024,377,327,446,31,73,342
08031008389,45,11639,3754,217,1194,2268,3679,601,1069,1229,424,208,597
08005080400,74,4946,2028,226,879,895,2000,574,679,7333,914,813,5606
08059010308,32,5829,2502,241,633,1484,2358,693,658,2304,691,233,1380
08001008000,192,5818,1928,411,940,443,1794,438,506,145,41,17,87
08005085800,0,1784,654,31,210,396,637,108,226,28,15,0,13
08035013904,18,4452,1868,161,939,745,1845,499,705,5650,1346,1385,2919
08031003102,452,3527,2245,665,564,780,2009,1200,605,7271,162,142,6967
08059015800,184,4442,2070,205,964,901,2070,782,767,3948,1586,720,1642
08039961204,32,8121,2640,197,442,2001,2640,223,1083,801,368,27,406
08005080800,41,3699,1156,168,555,397,1120,258,315,433,6,110,317
08031004005,332,3299,1859,276,769,626,1671,756,678,1100,17,74,1009
08001008535,44,3883,1222,56,409,724,1189,73,465,5698,4530,90,1078
08031004601,96,6481,2089,371,968,702,2041,422,587,669,78,236,355
08059011733,40,1727,945,149,342,396,887,422,283,6859,354,33,6472
08059010307,186,5110,2112,306,1056,750,2112,684,803,633,58,247,328
08059011000,278,6290,2441,509,1052,869,2430,775,824,2022,321,319,1382
08059011904,84,2716,1422,222,646,466,1334,547,478,4947,1203,157,3587
08035014126,57,2130,1125,51,349,685,1085,394,426,1683,264,588,831
08005086100,11,4848,1619,82,408,1095,1585,274,389,266,33,21,212
08031000402,372,5750,3350,580,725,1783,3088,1420,1158,3033,315,181,2537
08035014403,36,6148,2293,136,580,1569,2285,276,1135,1919,809,35,1075
08001009310,172,6290,2001,321,875,695,1891,436,592,198,68,0,130
08031001702,803,4491,3416,610,708,1333,2651,1661,851,72640,11148,1361,60131
08001008536,6,3495,1091,29,140,909,1078,148,358,176,81,23,72
08031000600,213,3490,2208,443,615,1001,2059,996,858,3927,338,178,3411
08059012053,22,4010,1468,155,354,912,1421,221,529,968,687,18,263
08031002803,297,4999,3545,395,1557,1364,3316,2023,1042,1106,253,24,829
08005081400,224,4213,1759,243,647,752,1642,663,404,5261,335,239,4687
08059010211,122,3457,1446,267,463,666,1396,412,547,831,88,79,664
08031000301,397,5869,2902,460,755,1593,2808,1093,1008,2315,163,330,1822
08001008551,12,1569,497,25,60,383,468,41,155,68,20,0,48
08059009849,101,5660,2494,405,858,1108,2371,708,939,4918,1491,431,2996
08005082600,183,5556,2375,153,1298,783,2234,906,665,783,80,30,673
08001009001,264,4420,1537,314,635,515,1464,346,378,2230,566,381,1283
08001008802,83,5396,1252,167,536,481,1184,96,279,7238,5786,153,1299
08031006809,162,7800,3719,435,1465,1777,3677,1392,1458,3664,241,583,2840
08005005551,83,2951,1200,288,570,264,1122,328,409,8158,5379,438,2341
08059012031,0,4092,1620,59,284,1206,1549,145,880,577,291,10,276
08059009846,28,4733,2046,140,366,1419,1925,377,881,2010,412,600,998
08031000800,145,1437,466,315,71,25,411,52,117,2542,1767,157,618
08001008545,55,7138,2248,84,423,1696,2203,240,841,501,122,2,377
08005083300,21,4456,1798,152,543,1040,1735,434,679,756,19,354,383
08059012057,53,5992,2667,286,871,1455,2612,872,980,1325,79,236,1010
08005005619,42,5102,1900,120,650,1088,1858,457,659,517,47,26,444
08059010405,211,2749,1600,388,740,465,1593,878,482,4725,401,1534,2790
08005086700,12,5485,1667,42,177,1386,1605,77,456,752,84,57,611
08001009204,20,6836,2646,189,1094,1363,2646,691,1043,1090,106,456,528
08031980000,13,1708,678,110,345,223,678,245,124,19080,12036,579,6465
08031004302,81,2662,1312,101,346,785,1232,435,458,358,34,47,277
08005083600,26,3758,1671,154,791,642,1587,552,528,419,56,67,296
08031011902,272,6229,2988,356,1336,1128,2820,1061,1013,435,34,48,353
08001009322,149,5296,1747,300,829,542,1671,410,450,674,67,445,162
08005083900,21,3071,1562,115,716,657,1488,722,441,448,23,80,345
08031001101,56,2484,1096,230,380,367,977,224,490,867,187,11,669
08014031400,5,6317,2427,46,494,1686,2226,302,942,335,52,25,258
08035014504,93,4637,1861,250,717,826,1793,528,543,4893,578,163,4152
08035014122,32,7137,2685,124,443,1894,2461,313,953,1695,196,338,1161
08059012033,0,2815,1286,40,246,901,1187,186,643,653,97,147,409
08005080000,17,3834,1339,181,803,281,1265,240,347,600,25,418,157
08059012050,110,4140,1828,205,502,1113,1820,531,774,2105,115,793,1197
08059012024,64,5387,2107,146,391,1496,2033,347,772,5616,1629,211,3776
08039961208,14,3465,1288,61,397,807,1265,167,592,1424,244,316,864
08059009829,15,1841,678,21,131,526,678,109,215,444,12,206,226
08059010206,21,3878,1675,126,550,956,1632,439,671,1529,99,569,861
08031001500,172,4377,1271,326,631,263,1220,317,381,7129,4133,259,2737
