GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,UPA,geometry
08031002402,183,2034,956,188,251,439,878,279,386,3,"list(list(c(-104.97812, -104.978151, -104.978118, -104.973359, -104.973357, -104.973339, -104.973383, -104.978177, -104.97812, 39.750735, 39.75324, 39.754571, 39.754547, 39.750723, 39.746975, 39.743778, 39.7475, 39.750735)))"
08031001102,146,4799,2513,312,636,1401,2349,1050,836,3,"list(list(c(-105.012692, -105.008965, -105.011008, -105.011185, -105.0112, -105.011202, -105.004137, -104.998203, -104.998355, -105.000024, -105.002911, -105.004115, -105.007719, -105.008186, -105.009489, -105.011707, -105.012692, 39.755368, 39.758085, 39.759643, 39.762037, 39.765639, 39.769286, 39.769287, 39.769296, 39.762093, 39.761391, 39.760591, 39.759701, 39.755264, 39.754791, 39.753926, 39.755009, 39.755368)))"
08031980100,0,0,0,0,0,0,0,0,0,3,"list(list(c(-104.866388, -104.866041, -104.847181, -104.847165, -104.847087, -104.847049, -104.84701, -104.847033, -104.865996, -104.866526, -104.866388, 39.797693, 39.798386, 39.798236, 39.796293, 39.789276, 39.786407, 39.782386, 39.774008, 39.775642, 39.789441, 39.797693)))"
08031006813,372,4293,2584,389,1414,613,2416,1299,746,3,"list(list(c(-104.879277, -104.876233, -104.875832, -104.878233, -104.87531, -104.875291, -104.871874, -104.870882, -104.868216, -104.866051, -104.866174, -104.866334, -104.86637, -104.867425, -104.86886, -104.870101, -104.874387, -104.878752, -104.879277, 39.663891, 39.663987, 39.669787, 39.672787, 39.672784, 39.674766, 39.674744, 39.674764, 39.672621, 39.670847, 39.667515, 39.660309, 39.659355, 39.659996, 39.66217, 39.662842, 39.663837, 39.66327, 39.663891)))"
08031015500,202,3576,1988,264,1006,559,1829,816,682,3,"list(list(c(-104.934135, -104.931714, -104.931651, -104.934076, -104.934135, 39.700181, 39.700208, 39.698398, 39.698436, 39.700181)), list(c(-104.940633, -104.940485, -104.939539, -104.936213, -104.936233, -104.934027, -104.931735, -104.931724, -104.931697, -104.940549, -104.940562, -104.940633, 39.694755, 39.695664, 39.694688, 39.694782, 39.696599, 39.6966, 39.696601, 39.692973, 39.689341, 39.689321, 39.692941, 39.694755)))"
08031005300,195,1547,838,176,315,279,770,395,230,3,"list(list(c(-104.940748, -104.94042, -104.936416, -104.933977, -104.93076, -104.927832, -104.926795, -104.926368, -104.926275, -104.930436, -104.929542, -104.927037, -104.927935, -104.930332, -104.931641, -104.934218, -104.934183, -104.932905, -104.931695, -104.931622, -104.936789, -104.938145, -104.94068, -104.940748, 39.678414, 39.682897, 39.681015, 39.678445, 39.674779, 39.670574, 39.668581, 39.667591, 39.667471, 39.667471, 39.669381, 39.66899, 39.67033, 39.672981, 39.673374, 39.673388, 39.671093, 
39.670799, 39.670564, 39.667473, 39.667548, 39.668072, 39.668329, 39.678414)))"
08059011951,22,3409,1586,138,544,750,1432,407,550,3,"list(list(c(-105.081419, -105.072026, -105.069702, -105.061048, -105.057797, -105.057794, -105.060335, -105.061005, -105.06262, -105.062622, -105.053251, -105.053234, -105.053261, -105.053256, -105.06011, -105.067297, -105.071991, -105.071997, -105.074504, -105.07667, -105.081348, -105.081349, -105.081437, -105.081419, 39.682233, 39.682202, 39.682207, 39.682235, 39.682272, 39.678697, 39.677954, 39.678041, 39.67928, 39.675008, 39.675037, 39.674299, 39.67328, 39.667785, 39.66778, 39.667775, 39.667763, 
39.669344, 39.67025, 39.669061, 39.670133, 39.674916, 39.676358, 39.682233)))"
08031005102,17,3519,1639,198,439,876,1513,462,581,3,"list(list(c(-104.931735, -104.927864, -104.924154, -104.923757, -104.922252, -104.922324, -104.92234, -104.922319, -104.922234, -104.922266, -104.931616, -104.931676, -104.931685, -104.931697, -104.931724, -104.931735, 39.696601, 39.696654, 39.696739, 39.696804, 39.6959, 39.69299, 39.689361, 39.686159, 39.682091, 39.67847, 39.678462, 39.684273, 39.68571, 39.689341, 39.692973, 39.696601)))"
08031008306,251,7188,1986,287,1007,627,1921,340,407,3,"list(list(c(-104.847087, -104.84378, -104.84019, -104.83632, -104.835584, -104.834468, -104.828184, -104.831204, -104.832413, -104.838472, -104.839796, -104.841626, -104.842927, -104.84701, -104.847049, -104.847087, 39.789276, 39.789291, 39.78932, 39.790963, 39.791055, 39.791131, 39.788695, 39.784332, 39.782677, 39.780511, 39.77932, 39.780529, 39.781296, 39.782386, 39.786407, 39.789276)))"
08031001401,395,6401,2389,820,846,673,2339,922,592,3,"list(list(c(-105.025059, -105.01569, -105.012707, -105.006595, -104.992384, -104.993915, -104.994836, -104.999501, -104.999755, -105.002745, -105.006864, -105.01176, -105.015708, -105.025057, -105.025064, -105.025059, 39.696746, 39.696762, 39.696747, 39.696724, 39.69666, 39.69293, 39.692048, 39.68971, 39.689116, 39.689446, 39.689468, 39.689495, 39.689513, 39.689485, 39.693108, 39.696746)))"
08031004700,150,7221,2395,405,919,1000,2324,486,670,3,"list(list(c(-105.06262, -105.061005, -105.060335, -105.057794, -105.057797, -105.057265, -105.053221, -105.044264, -105.038276, -105.038316, -105.038578, -105.038653, -105.038686, -105.041751, -105.053256, -105.053261, -105.053234, -105.053251, -105.062622, -105.06262, 39.67928, 39.678041, 39.677954, 39.678697, 39.682272, 39.682272, 39.682291, 39.682237, 39.682213, 39.679188, 39.677799, 39.672317, 39.667701, 39.667718, 39.667785, 39.67328, 39.674299, 39.675037, 39.675008, 39.67928)))"
08031002403,545,4529,2796,927,635,973,2535,1359,824,3,"list(list(c(-104.987397, -104.987383, -104.985476, -104.981854, -104.977027, -104.973925, -104.97334, -104.973349, -104.973359, -104.978118, -104.978151, -104.97812, -104.978177, -104.981074, -104.98359, -104.985479, -104.9874, -104.987397, 39.748911, 39.75158, 39.753051, 39.755866, 39.759603, 39.762034, 39.762046, 39.75824, 39.754547, 39.754571, 39.75324, 39.750735, 39.7475, 39.747545, 39.747551, 39.747576, 39.747357, 39.748911)))"
08005087100,173,2789,1427,301,680,329,1310,569,340,3,"list(list(c(-104.875254, -104.875268, -104.865953, -104.865942, -104.865986, -104.866051, -104.868216, -104.870882, -104.875274, -104.875254, 39.682045, 39.68567, 39.685652, 39.68202, 39.674767, 39.670847, 39.672621, 39.674764, 39.678365, 39.682045)))"
08031004301,514,5086,3406,757,1220,1013,2990,1629,952,3,"list(list(c(-104.940608, -104.940602, -104.940615, -104.940593, -104.940593, -104.932087, -104.931534, -104.930379, -104.930381, -104.930412, -104.930459, -104.930452, -104.930521, -104.940615, -104.940608, 39.729226, 39.732076, 39.734689, 39.736683, 39.740128, 39.740133, 39.740135, 39.740134, 39.73649, 39.732865, 39.732563, 39.729238, 39.725615, 39.725598, 39.729226)))"
08031005001,59,2718,1147,140,421,506,1067,298,432,3,"list(list(c(-104.922286, -104.917647, -104.912782, -104.912794, -104.912763, -104.91289, -104.912889, -104.912889, -104.912889, -104.913979, -104.922088, -104.921892, -104.921625, -104.921642, -104.922232, -104.922286, 39.711339, 39.711385, 39.711382, 39.703805, 39.702834, 39.695308, 39.69174, 39.691429, 39.69093, 39.691723, 39.696252, 39.696623, 39.697582, 39.703863, 39.705858, 39.711339)))"
08031001800,433,3570,1866,633,553,599,1785,826,695,3,"list(list(c(-105.000158, -105.000146, -104.998567, -104.993847, -104.990242, -104.987423, -104.987435, -104.99089, -104.992157, -105.000148, -105.000169, -105.000158, 39.733688, 39.740206, 39.740193, 39.73373, 39.728865, 39.726943, 39.725637, 39.725663, 39.725668, 39.725707, 39.726481, 39.733688)))"
08031001600,459,12361,6815,916,1951,3491,6358,3060,2594,3,"list(list(c(-105.000024, -104.998355, -104.995506, -104.991971, -104.984805, -104.978523, -104.978415, -104.971915, -104.973347, -104.973343, -104.973338, -104.973319, -104.97334, -104.973925, -104.977027, -104.981854, -104.985476, -104.987383, -104.987397, -104.99169, -104.994272, -104.995989, -104.99983, -105.002911, -105.000024, 39.761391, 39.762093, 39.762989, 39.765542, 39.767446, 39.775124, 39.775306, 39.7703, 39.769187, 39.768163, 39.767919, 39.765764, 39.762046, 39.762034, 39.759603, 39.755866, 
39.753051, 39.75158, 39.748911, 39.752288, 39.754334, 39.755629, 39.758671, 39.760591, 39.761391)))"
08031006811,338,6497,3381,570,1174,1366,3110,1261,1116,3,"list(list(c(-104.903509, -104.898817, -104.893941, -104.890824, -104.890764, -104.890188, -104.887116, -104.885111, -104.884715, -104.884691, -104.884696, -104.884785, -104.898759, -104.900801, -104.902467, -104.903555, -104.904112, -104.902787, -104.904757, -104.903509, 39.667624, 39.667626, 39.667589, 39.664903, 39.664956, 39.664393, 39.661925, 39.660301, 39.659892, 39.657912, 39.657235, 39.653068, 39.653113, 39.65311, 39.656817, 39.657671, 39.659972, 39.664953, 39.667634, 39.667624)))"
08031000701,577,4516,2383,644,798,703,2145,1107,560,3,"list(list(c(-105.053206, -105.05321, -105.053212, -105.039308, -105.039324, -105.039326, -105.039311, -105.0393, -105.04205, -105.045537, -105.049868, -105.053228, -105.053206, 39.740411, 39.743273, 39.74398, 39.743953, 39.741526, 39.740342, 39.73847, 39.734344, 39.73505, 39.734846, 39.735277, 39.734965, 39.740411)))"
