GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08031004003,176,4217,2146,296,642,1132,2070,807,834,"list(list(c(-104.940686, -104.94068, -104.94068, -104.938145, -104.936789, -104.931622, -104.930436, -104.926275, -104.925662, -104.923765, -104.918448, -104.920458, -104.931703, -104.940683, -104.940686, 39.66346, 39.66756, 39.668329, 39.668072, 39.667548, 39.667473, 39.667471, 39.667471, 39.667486, 39.66461, 39.653079, 39.65309, 39.653044, 39.653013, 39.66346)))"
08031002702,688,6495,4441,653,1783,1906,4342,2859,1266,"list(list(c(-104.987404, -104.987403, -104.983581, -104.982256, -104.979832, -104.978681, -104.972979, -104.972935, -104.972939, -104.977558, -104.979938, -104.981138, -104.983623, -104.987415, -104.987404, 39.729094, 39.732043, 39.73204, 39.732034, 39.732021, 39.732026, 39.732049, 39.729078, 39.727283, 39.727261, 39.727268, 39.727264, 39.727283, 39.727275, 39.729094)))"
08031000904,455,5583,2050,783,803,365,1951,711,408,"list(list(c(-105.055591, -105.055567, -105.053228, -105.049868, -105.045537, -105.04205, -105.0393, -105.039384, -105.039471, -105.039468, -105.039454, -105.043984, -105.046267, -105.048501, -105.053253, -105.053253, -105.053227, -105.055588, -105.055591, 39.734508, 39.734977, 39.734965, 39.735277, 39.734846, 39.73505, 39.734344, 39.732994, 39.730622, 39.728256, 39.725707, 39.725719, 39.725728, 39.725805, 39.7258, 39.725828, 39.73311, 39.733105, 39.734508)))"
08031004006,107,4857,2361,403,534,1081,2018,651,656,"list(list(c(-104.959393, -104.956583, -104.950828, -104.940924, -104.940748, -104.94068, -104.94068, -104.945362, -104.945822, -104.948509, -104.950194, -104.950744, -104.959379, -104.959385, -104.959393, 39.678425, 39.678472, 39.678424, 39.678378, 39.678414, 39.668329, 39.66756, 39.667564, 39.667565, 39.66694, 39.667253, 39.667531, 39.667594, 39.673028, 39.678425)))"
08031002602,273,2885,1835,214,538,1000,1752,975,682,"list(list(c(-104.981074, -104.978177, -104.973383, -104.973387, -104.973412, -104.97991, -104.979892, -104.979884, -104.981074, 39.747545, 39.7475, 39.743778, 39.743248, 39.740029, 39.740021, 39.743263, 39.746178, 39.747545)))"
08031003004,44,6559,2638,316,849,1245,2410,767,839,"list(list(c(-104.974586, -104.973475, -104.973477, -104.973431, -104.965232, -104.959511, -104.959393, -104.959385, -104.959379, -104.959434, -104.959443, -104.963149, -104.963224, -104.967619, -104.968785, -104.968805, -104.973489, -104.973486, -104.974586, 39.667687, 39.669491, 39.674884, 39.678512, 39.678469, 39.678475, 39.678425, 39.673028, 39.667594, 39.663924, 39.661526, 39.66156, 39.66037, 39.660409, 39.660417, 39.665839, 39.665866, 39.667684, 39.667687)))"
08031003800,478,6850,4783,562,989,2514,4065,1991,1688,"list(list(c(-104.96017, -104.95554, -104.949794, -104.949507, -104.940615, -104.940632, -104.940635, -104.940628, -104.940645, -104.941349, -104.946183, -104.948509, -104.950121, -104.954033, -104.959307, -104.95931, -104.959439, -104.959443, -104.959459, -104.96017, 39.725606, 39.725611, 39.725609, 39.725607, 39.725598, 39.720942, 39.718352, 39.717792, 39.711564, 39.711611, 39.711493, 39.711798, 39.713356, 39.715443, 39.715312, 39.718344, 39.71942, 39.72255, 39.72496, 39.725606)))"
08005004952,93,3193,2009,257,953,631,1841,912,770,"list(list(c(-104.940691, -104.940738, -104.940687, -104.931648, -104.93157, -104.926981, -104.929542, -104.92959, -104.929119, -104.929118, -104.928287, -104.928287, -104.926963, -104.926962, -104.926924, -104.928974, -104.930257, -104.931423, -104.932868, -104.93384, -104.933996, -104.931654, -104.931714, -104.934135, -104.934076, -104.934027, -104.936233, -104.936213, -104.939539, -104.940485, -104.940633, -104.940612, -104.938635, -104.93871, -104.940271, -104.940278, -104.940738, -104.940691, 
39.703813, 39.706344, 39.711221, 39.711098, 39.709096, 39.708004, 39.708456, 39.706414, 39.70641, 39.706787, 39.706785, 39.706692, 39.706699, 39.706559, 39.7036, 39.703843, 39.703838, 39.703789, 39.702182, 39.70416, 39.70138, 39.700221, 39.700208, 39.700181, 39.698436, 39.6966, 39.696599, 39.694782, 39.694688, 39.695664, 39.694755, 39.69657, 39.696605, 39.698182, 39.698199, 39.697949, 39.697956, 39.703813)))"
08031002801,148,3002,1961,255,656,928,1839,1095,532,"list(list(c(-104.987415, -104.983623, -104.981138, -104.979938, -104.977558, -104.972939, -104.972914, -104.972916, -104.97291, -104.972931, -104.973248, -104.976083, -104.977538, -104.980305, -104.982969, -104.987423, -104.987415, 39.727275, 39.727283, 39.727264, 39.727268, 39.727261, 39.727283, 39.725576, 39.723738, 39.721952, 39.720105, 39.718401, 39.7191, 39.719747, 39.721486, 39.723163, 39.726943, 39.727275)))"
08031003701,215,3677,2106,329,624,1006,1959,976,717,"list(list(c(-104.959784, -104.959766, -104.954945, -104.94058, -104.940593, -104.940653, -104.940593, -104.94947, -104.95006, -104.954165, -104.95811, -104.959781, -104.959783, -104.95979, -104.959784, 39.746935, 39.750716, 39.75115, 39.751036, 39.74739, 39.743752, 39.740128, 39.74016, 39.740163, 39.740182, 39.740196, 39.739988, 39.743259, 39.744766, 39.746935)))"
08031003401,38,2658,1529,88,323,980,1391,581,525,"list(list(c(-104.973391, -104.973248, -104.970587, -104.966309, -104.960207, -104.959307, -104.959261, -104.959328, -104.965173, -104.966328, -104.973374, -104.973393, -104.973391, 39.716531, 39.718401, 39.717699, 39.714424, 39.715572, 39.715312, 39.711117, 39.707489, 39.70749, 39.707489, 39.70749, 39.711108, 39.716531)))"
08031004005,332,3299,1859,276,769,626,1671,756,678,"list(list(c(-104.959447, -104.950487, -104.947859, -104.94042, -104.940748, -104.940924, -104.950828, -104.956583, -104.959393, -104.959447, 39.684727, 39.68468, 39.684504, 39.682897, 39.678414, 39.678378, 39.678424, 39.678472, 39.678425, 39.684727)))"
08031000402,372,5750,3350,580,725,1783,3088,1420,1158,"list(list(c(-105.025238, -105.018975, -105.017422, -105.014711, -105.014399, -105.011202, -105.0112, -105.011185, -105.011008, -105.008965, -105.012692, -105.014639, -105.015835, -105.020538, -105.021368, -105.025233, -105.025241, -105.025281, -105.025233, -105.025287, -105.025238, 39.769288, 39.76927, 39.769272, 39.769293, 39.769292, 39.769286, 39.765639, 39.762037, 39.759643, 39.758085, 39.755368, 39.756078, 39.756303, 39.758038, 39.75846, 39.758476, 39.762021, 39.764664, 39.765609, 39.766078, 
39.769288)))"
08031000600,213,3490,2208,443,615,1001,2059,996,858,"list(list(c(-105.025222, -105.025233, -105.021368, -105.020538, -105.015835, -105.014639, -105.012692, -105.011707, -105.009489, -105.012528, -105.015133, -105.015677, -105.016261, -105.018982, -105.020549, -105.020509, -105.023616, -105.025213, -105.025268, -105.025222, 39.754837, 39.758476, 39.75846, 39.758038, 39.756303, 39.756078, 39.755368, 39.755009, 39.753926, 39.751401, 39.749855, 39.744744, 39.743389, 39.746384, 39.746483, 39.747599, 39.747588, 39.746363, 39.749998, 39.754837)))"
08031002803,297,4999,3545,395,1557,1364,3316,2023,1042,"list(list(c(-104.980387, -104.980299, -104.980278, -104.980305, -104.977538, -104.976083, -104.973248, -104.973391, -104.973393, -104.976907, -104.980383, -104.980387, 39.714728, 39.716522, 39.718323, 39.721486, 39.719747, 39.7191, 39.718401, 39.716531, 39.711108, 39.711102, 39.711118, 39.714728)))"
